seed,radius,duration,noa,amplitude,F1_score,roc_auc
1,2,10,450,0.25,0.5404143650413931,0.7413425762257811
2,2,10,450,0.25,0.5561659241316665,0.7390613614454447
3,2,10,450,0.25,0.5663751596737742,0.7544340769098348
4,2,10,450,0.25,0.551934029941595,0.7361258982813534
5,2,10,450,0.25,0.5649953090795372,0.7473617598552168
6,2,10,450,0.25,0.5482161060142712,0.7353387987062908
7,2,10,450,0.25,0.5561046886415403,0.731458497492445
8,2,10,450,0.25,0.5257363536803275,0.7232963727345115
9,2,10,450,0.25,0.5502635119982059,0.7294887644141368
10,2,10,450,0.25,0.5600190583961169,0.7473581071214368
11,2,10,450,0.25,0.5480346076699698,0.7347883327219835
12,2,10,450,0.25,0.5502162146682322,0.7299546522588827
13,2,10,450,0.25,0.5486003166901521,0.7334189250914762
14,2,10,450,0.25,0.5625616621205966,0.7385060163440682
15,2,10,450,0.25,0.5542579145674236,0.7517053943693612
16,2,10,450,0.25,0.5673581306628517,0.7558869186222299
17,2,10,450,0.25,0.540505339932274,0.7281111261189983
18,2,10,450,0.25,0.5581751466296841,0.7355315802310889
19,2,10,450,0.25,0.560363007024535,0.7386362342767088
20,2,10,450,0.25,0.5527628051768368,0.7484836895534217
21,2,10,450,0.25,0.5656202421518162,0.7482345315036032
22,2,10,450,0.25,0.543563181805029,0.7311372713071981
23,2,10,450,0.25,0.5451954397394136,0.7300025793012193
24,2,10,450,0.25,0.5609678721808848,0.7412435141168
25,2,10,450,0.25,0.5548659635721829,0.7408196500964443
26,2,10,450,0.25,0.5438149552731378,0.7316208091506551
27,2,10,450,0.25,0.545065370820317,0.7350327721749483
28,2,10,450,0.25,0.5585313863956034,0.73832020235713
29,2,10,450,0.25,0.5458904905835852,0.7333511927828811
30,2,10,450,0.25,0.5363251261439704,0.7214504887317218
31,2,10,450,0.25,0.5520177179509305,0.7353464001377117
32,2,10,450,0.25,0.549051024718512,0.7355338248526939
33,2,10,450,0.25,0.557174234613833,0.7403607846038074
34,2,10,450,0.25,0.566417639805614,0.7463810176215705
35,2,10,450,0.25,0.5696239207278206,0.7506588907955918
36,2,10,450,0.25,0.5719613066031123,0.7474352002719166
37,2,10,450,0.25,0.5549117839250708,0.7460572668568157
38,2,10,450,0.25,0.5738676715704036,0.7636021331923207
39,2,10,450,0.25,0.5667330964965486,0.7490899306994695
40,2,10,450,0.25,0.5550078657577346,0.7410970140396493
41,2,10,450,0.25,0.5562028047464941,0.7468947287114474
42,2,10,450,0.25,0.5599699065366475,0.7493658750957137
43,2,10,450,0.25,0.5538385926364937,0.7395938066291685
44,2,10,450,0.25,0.5566191446028513,0.7458783943207667
45,2,10,450,0.25,0.5570095088545756,0.7427364903732773
46,2,10,450,0.25,0.566719676160185,0.7491238503637458
47,2,10,450,0.25,0.5609763201584481,0.7524347138016844
48,2,10,450,0.25,0.5436485085799839,0.742551167426404
49,2,10,450,0.25,0.5456207291772455,0.7434176302638672
50,2,10,450,0.25,0.5442632414489825,0.7421548329662186
1,2,10,450,0.5,0.6853406405405014,0.8371317776180114
2,2,10,450,0.5,0.7025967097769511,0.8515729405558492
3,2,10,450,0.5,0.7025365319558107,0.8511487092483342
4,2,10,450,0.5,0.6899900001449254,0.8431009558054468
5,2,10,450,0.5,0.7069738350880851,0.856275242711894
6,2,10,450,0.5,0.6886267656909859,0.8438044916997325
7,2,10,450,0.5,0.6948586817940894,0.8427671056382382
8,2,10,450,0.5,0.6655715026802698,0.8233591379859336
9,2,10,450,0.5,0.6978021978021978,0.8448855447922764
10,2,10,450,0.5,0.7091510080104821,0.8626723745377837
11,2,10,450,0.5,0.7055354309493159,0.8499235641527794
12,2,10,450,0.5,0.6980726824937713,0.8464311650490547
13,2,10,450,0.5,0.6933189999564188,0.8380010584703358
14,2,10,450,0.5,0.7051535024084499,0.8460537830575972
15,2,10,450,0.5,0.705807625124511,0.8572197683578073
16,2,10,450,0.5,0.711552217453505,0.8526514541693059
17,2,10,450,0.5,0.6913837515556713,0.8324777391952298
18,2,10,450,0.5,0.7025512120424142,0.8437559130192107
19,2,10,450,0.5,0.6944836312337294,0.846190284543538
20,2,10,450,0.5,0.7091632317758626,0.8631236619873931
21,2,10,450,0.5,0.7064452983397376,0.8507024293099197
22,2,10,450,0.5,0.6919760409734078,0.8379069275813322
23,2,10,450,0.5,0.6879653327128897,0.8276132765831723
24,2,10,450,0.5,0.7110226682817097,0.8512382996191838
25,2,10,450,0.5,0.6973944996600263,0.8427364938039728
26,2,10,450,0.5,0.6926150015922184,0.8434616377053161
27,2,10,450,0.5,0.702707393266227,0.8522591845548668
28,2,10,450,0.5,0.6998825457129185,0.8429472750239618
29,2,10,450,0.5,0.685625435945129,0.8343005417578464
30,2,10,450,0.5,0.6804979253112033,0.8294619082328477
31,2,10,450,0.5,0.7125722668047286,0.8501138891271272
32,2,10,450,0.5,0.6912443738802383,0.8453093311046412
33,2,10,450,0.5,0.7061126301791504,0.8483515794865766
34,2,10,450,0.5,0.7044607238703127,0.850558143438519
35,2,10,450,0.5,0.7163759633771802,0.854354887072284
36,2,10,450,0.5,0.7073881957100799,0.8487015447459891
37,2,10,450,0.5,0.6935889058302476,0.8492658003134474
38,2,10,450,0.5,0.7267773027030944,0.8722688386384123
39,2,10,450,0.5,0.7085174594922451,0.8546145738053625
40,2,10,450,0.5,0.7109746048393139,0.8534859467223828
41,2,10,450,0.5,0.6983674937072996,0.8499529207290892
42,2,10,450,0.5,0.7002806794178073,0.8527908655238834
