seed,radius,duration,noa,amplitude,F1_score,roc_auc
1,2,10,450,0.25,0.689603178055181,0.8662276647838524
2,2,10,450,0.25,0.74443819657713,0.8832792641621274
3,2,10,450,0.25,0.7265683123008464,0.8800414158296153
4,2,10,450,0.25,0.7386269764206316,0.8763388718253193
5,2,10,450,0.25,0.7312177033849087,0.8928546454319262
6,2,10,450,0.25,0.7298383573612931,0.8802850387157092
7,2,10,450,0.25,0.7271190568281118,0.8703188497159425
8,2,10,450,0.25,0.686379618421811,0.8509796303296338
9,2,10,450,0.25,0.7376373626373627,0.8872010059082055
10,2,10,450,0.25,0.7243083886721658,0.8865424301767314
11,2,10,450,0.25,0.7403227255036973,0.8911111269406308
12,2,10,450,0.25,0.7547466995045677,0.8806979151393164
13,2,10,450,0.25,0.7195548905385185,0.8602615791546748
14,2,10,450,0.25,0.7247983285938134,0.8807335011081767
15,2,10,450,0.25,0.7366141675448601,0.8922335344949112
16,2,10,450,0.25,0.7300011921793038,0.8851383728109415
17,2,10,450,0.25,0.6944227374026801,0.8524191253407751
18,2,10,450,0.25,0.698852965820115,0.867820914240505
19,2,10,450,0.25,0.7115868468127808,0.8699223544923737
20,2,10,450,0.25,0.7237194823163174,0.8862206198376152
21,2,10,450,0.25,0.7411295584716885,0.8929410232084103
22,2,10,450,0.25,0.7102636071645592,0.8667865747189663
23,2,10,450,0.25,0.7279839460214053,0.8772716062998416
24,2,10,450,0.25,0.7294803022437562,0.8632878043874225
25,2,10,450,0.25,0.7258654861623483,0.8813670992758598
26,2,10,450,0.25,0.7272964131661986,0.8839575416718288
27,2,10,450,0.25,0.729029272243434,0.8838096937703539
28,2,10,450,0.25,0.7111639574844482,0.8657279336087249
29,2,10,450,0.25,0.7204138572425017,0.8746797920794924
30,2,10,450,0.25,0.7002761432475024,0.8618965691282198
31,2,10,450,0.25,0.7335979520809963,0.8856732092797651
32,2,10,450,0.25,0.719968537427352,0.8865549633774368
33,2,10,450,0.25,0.7399704155273656,0.8937938860189557
34,2,10,450,0.25,0.7460071081453543,0.8931770969007655
35,2,10,450,0.25,0.7262849858028626,0.8809759929307579
36,2,10,450,0.25,0.7321463619795318,0.8866198374995471
37,2,10,450,0.25,0.7525738764248893,0.8743709404013383
38,2,10,450,0.25,0.7528661497209943,0.901714796219319
39,2,10,450,0.25,0.7281575831094937,0.8892148332381336
40,2,10,450,0.25,0.7445052063825006,0.896699649747159
41,2,10,450,0.25,0.7108522114347358,0.8726651483944623
42,2,10,450,0.25,0.7208252553603982,0.8819145867928463
43,2,10,450,0.25,0.7248442446407146,0.8772059182529927
44,2,10,450,0.25,0.7123654349723596,0.8754443971525961
45,2,10,450,0.25,0.7359620808979616,0.8882308533064445
46,2,10,450,0.25,0.7450050599971085,0.8954260450487046
47,2,10,450,0.25,0.7208516587539685,0.8812438615360503
48,2,10,450,0.25,0.7048255211332489,0.8622268721306819
49,2,10,450,0.25,0.7119706355999826,0.8760339841619238
