seed,radius,duration,noa,amplitude,F1_score,roc_auc
1,2,10,450,0.25,0.6996650863381323,0.8417853705858614
2,2,10,450,0.25,0.6820364202603919,0.8384019193410205
3,2,10,450,0.25,0.7086567750810652,0.8569742200183363
4,2,10,450,0.25,0.6519035956000637,0.8154343679255147
5,2,10,450,0.25,0.7275543178805974,0.8700732471283337
6,2,10,450,0.25,0.7198776758409786,0.8583972652089843
7,2,10,450,0.25,0.7377197129227728,0.8608549267703449
8,2,10,450,0.25,0.6602686033777163,0.8351088769573622
9,2,10,450,0.25,0.7091556402780893,0.8673614560765541
10,2,10,450,0.25,0.707662070813853,0.8637093290399742
11,2,10,450,0.25,0.7425680328114241,0.8789303431298798
12,2,10,450,0.25,0.6781694779346488,0.8379241342989225
13,2,10,450,0.25,0.6755378648110755,0.8473029202480996
14,2,10,450,0.25,0.6799373222680053,0.8499003391172028
15,2,10,450,0.25,0.7188866914004417,0.862647914646627
16,2,10,450,0.25,0.6942358130662851,0.8503876618175455
17,2,10,450,0.25,0.680588116118202,0.8393822586672648
18,2,10,450,0.25,0.7237583427234117,0.8710035367797083
19,2,10,450,0.25,0.6584737997934815,0.8406750713854045
20,2,10,450,0.25,0.6843455452108494,0.8580283156821458
21,2,10,450,0.25,0.7044732835496266,0.8633293304165404
22,2,10,450,0.25,0.7117104082872768,0.8433028424876651
23,2,10,450,0.25,0.7358364355514193,0.864346633906673
24,2,10,450,0.25,0.7064370998442637,0.8543501227318016
25,2,10,450,0.25,0.710356900018807,0.8636934671692624
26,2,10,450,0.25,0.6686159279738297,0.8330781605425082
27,2,10,450,0.25,0.7304176790466274,0.8673756405318019
28,2,10,450,0.25,0.7240114264170642,0.8693341085417967
29,2,10,450,0.25,0.6515054638456172,0.8202984084257134
30,2,10,450,0.25,0.7047002183122009,0.8528114004247022
31,2,10,450,0.25,0.7061006126499266,0.8626098998331001
32,2,10,450,0.25,0.7481683247636666,0.8796054102545254
33,2,10,450,0.25,0.6980441376425061,0.8650405255191477
34,2,10,450,0.25,0.7134256908682092,0.8665457751187658
35,2,10,450,0.25,0.754534391840992,0.8750252163496646
36,2,10,450,0.25,0.736324127295668,0.8634480091828256
37,2,10,450,0.25,0.7495534741886299,0.8761486502236171
38,2,10,450,0.25,0.669961591419668,0.8257743600732829
39,2,10,450,0.25,0.7437830343990989,0.8746588491374774
40,2,10,450,0.25,0.7671885534496966,0.8864665518194689
41,2,10,450,0.25,0.6878964401294498,0.851934949541861
42,2,10,450,0.25,0.6826297057206516,0.846689081435247
43,2,10,450,0.25,0.6964830367597103,0.8374281171279889
44,2,10,450,0.25,0.7135001454757055,0.8692062385492489
45,2,10,450,0.25,0.6821367297682398,0.8502630229058873
46,2,10,450,0.25,0.7542865404076912,0.893229737482282
47,2,10,450,0.25,0.7285701802930126,0.8775164305350215
48,2,10,450,0.25,0.696706207531959,0.8472796889871554
49,2,10,450,0.25,0.7411899545896383,0.8677245864441011
50,2,10,450,0.25,0.7193245778611632,0.8729929435612486
1,2,10,450,0.5,0.8082583039740188,0.9196439073448976
2,2,10,450,0.5,0.7994867136698531,0.9122755995765284
3,2,10,450,0.5,0.7883603082581171,0.9102769248171456
4,2,10,450,0.5,0.7844234141534181,0.9012412064724696
5,2,10,450,0.5,0.8117228336137958,0.911089342850544
6,2,10,450,0.5,0.7990971312072229,0.9102789686983724
7,2,10,450,0.5,0.7537066483303967,0.8827153989961445
8,2,10,450,0.5,0.7711971871577612,0.887339743033497
9,2,10,450,0.5,0.8275958735142409,0.9258353618197264
10,2,10,450,0.5,0.7691253982907001,0.8926033534824662
11,2,10,450,0.5,0.7672664131964195,0.8935777713933017
12,2,10,450,0.5,0.8176350983705146,0.9204918603858238
13,2,10,450,0.5,0.8228714208928338,0.923693783091232
14,2,10,450,0.5,0.8130694678196274,0.9187664730439394
15,2,10,450,0.5,0.8286584573631101,0.9318241660632048
16,2,10,450,0.5,0.837356938483548,0.920363161639996
17,2,10,450,0.5,0.7462012676912391,0.8621766547509042
18,2,10,450,0.5,0.7995146051833232,0.9032587924044294
19,2,10,450,0.5,0.7582425573379485,0.8798077980469583
20,2,10,450,0.5,0.748277750554867,0.8876585877583595
21,2,10,450,0.5,0.7744218081635612,0.8881243461666692
22,2,10,450,0.5,0.817095402066032,0.9086512097804976
23,2,10,450,0.5,0.8173569101907864,0.914858075655934
24,2,10,450,0.5,0.7567629924439061,0.8866753687703606
25,2,10,450,0.5,0.7828942609551091,0.8941326409032189
26,2,10,450,0.5,0.8151000202645977,0.9139456938840164
27,2,10,450,0.5,0.8127386324192989,0.9242707042056238
28,2,10,450,0.5,0.805040383974015,0.9102214384295808
29,2,10,450,0.5,0.8071669379214136,0.9228592258195576
30,2,10,450,0.5,0.7467723047117846,0.8684799240411532
31,2,10,450,0.5,0.7925043863433716,0.8929493108313717
32,2,10,450,0.5,0.8138610111721265,0.9219877298318055
33,2,10,450,0.5,0.7560775172949632,0.875619351856604
34,2,10,450,0.5,0.7544208312178139,0.8822087137878678
35,2,10,450,0.5,0.823462942574028,0.9161054696428153
36,2,10,450,0.5,0.8340109350904248,0.9275314972612156
37,2,10,450,0.5,0.8344442024250345,0.9252541521243104
38,2,10,450,0.5,0.8204362634973549,0.9222868972695412
39,2,10,450,0.5,0.8134477081708691,0.9197225538865794
40,2,10,450,0.5,0.8388343696157016,0.941784510860268
41,2,10,450,0.5,0.8283351312477526,0.9299955706909114
42,2,10,450,0.5,0.8011805897161376,0.9174123238080524
43,2,10,450,0.5,0.8114601251824975,0.9178133856265832
44,2,10,450,0.5,0.8180389874890893,0.9296763394169638
45,2,10,450,0.5,0.8412864578789729,0.938969909240224
46,2,10,450,0.5,0.8454532311695822,0.9346219340749946
47,2,10,450,0.5,0.8103865086068797,0.9173260283122197
48,2,10,450,0.5,0.732609697109294,0.8604889706001779
49,2,10,450,0.5,0.803661845140511,0.91320155607914
50,2,10,450,0.5,0.8175205657382018,0.9201724407200128
1,2,10,450,1.0,0.8596987226885883,0.9397067409752012
2,2,10,450,1.0,0.8617443084331791,0.9433618786099068
3,2,10,450,1.0,0.8503769002933786,0.9446181595551864
4,2,10,450,1.0,0.8545383400240576,0.9412310858466386
5,2,10,450,1.0,0.8530029336867656,0.9328967614267852
6,2,10,450,1.0,0.8442696956458424,0.9363219570144078
7,2,10,450,1.0,0.822353059148796,0.9146291954991146
8,2,10,450,1.0,0.8470517032681999,0.9312851617010124
9,2,10,450,1.0,0.8489571652836959,0.943332369483474
10,2,10,450,1.0,0.8467288049790059,0.939207614908478
11,2,10,450,1.0,0.8903391910906207,0.9572318675467844
12,2,10,450,1.0,0.881611730003723,0.9477486661104768
13,2,10,450,1.0,0.8683411537399944,0.9512044353796772
14,2,10,450,1.0,0.8813185537693692,0.9494865200648156
15,2,10,450,1.0,0.8775389412596902,0.9585588615803806
16,2,10,450,1.0,0.8842393896041965,0.9489612399547618
17,2,10,450,1.0,0.8499898700471766,0.9228419058538327
18,2,10,450,1.0,0.8487475080176823,0.9349330397229284
19,2,10,450,1.0,0.8480926133306186,0.9370625284345928
20,2,10,450,1.0,0.8736920992707463,0.9574888522455316
21,2,10,450,1.0,0.8743275574566809,0.9455209302758244
22,2,10,450,1.0,0.8591683787146619,0.9318909586801202
23,2,10,450,1.0,0.8725860865518846,0.9420995255361286
24,2,10,450,1.0,0.8672492357385938,0.9441511836732044
25,2,10,450,1.0,0.8577174023118209,0.9410511056354977
26,2,10,450,1.0,0.8668905422227369,0.9431724784582168
27,2,10,450,1.0,0.8806837903505728,0.9569532216269216
28,2,10,450,1.0,0.8645505560952975,0.9398820512366944
29,2,10,450,1.0,0.8820623110904441,0.9537641876776308
30,2,10,450,1.0,0.8552922636517415,0.9335599146452018
31,2,10,450,1.0,0.8846607415077516,0.9468158245969454
32,2,10,450,1.0,0.8779805689481888,0.9589807010613234
33,2,10,450,1.0,0.8904926262943207,0.957915035526929
34,2,10,450,1.0,0.8718648001740771,0.9511871266325967
35,2,10,450,1.0,0.8883061945877035,0.9522037675813576
36,2,10,450,1.0,0.8705453525865695,0.9501613861935352
37,2,10,450,1.0,0.8867494373048719,0.9570155101047586
38,2,10,450,1.0,0.8909921008768751,0.9591454794017888
39,2,10,450,1.0,0.8805129538168269,0.9507945105173524
40,2,10,450,1.0,0.896876170499663,0.9617602328073372
41,2,10,450,1.0,0.870190578928443,0.9476898786989524
42,2,10,450,1.0,0.852715645707341,0.9462761986668834
43,2,10,450,1.0,0.861301840153804,0.9417825101507882
44,2,10,450,1.0,0.8804771603142275,0.9533834111607272
45,2,10,450,1.0,0.878594899531827,0.956615818403522
46,2,10,450,1.0,0.881943038889692,0.9550316878596764
47,2,10,450,1.0,0.8456004427227449,0.9382087548550004
48,2,10,450,1.0,0.8510595416330762,0.9401667557268026
49,2,10,450,1.0,0.850552033310604,0.9355488530932126
50,2,10,450,1.0,0.8494732284600952,0.9369260386266164
1,2,10,450,1.5,0.8792136053238223,0.9531392845043054
2,2,10,450,1.5,0.8928875239701832,0.9582606733266978
3,2,10,450,1.5,0.846502617948034,0.9409039484363512
4,2,10,450,1.5,0.8824799640584919,0.9582811600424654
5,2,10,450,1.5,0.898422957215827,0.9562743558122954
6,2,10,450,1.5,0.8671326634629387,0.9483342206517458
7,2,10,450,1.5,0.8736086638875757,0.9419665928791712
8,2,10,450,1.5,0.8481180471496916,0.9323299540932538
9,2,10,450,1.5,0.8863814756671899,0.9598122779454216
10,2,10,450,1.5,0.9033679759387748,0.9612827737573792
11,2,10,450,1.5,0.9011466035984792,0.9631269747567952
12,2,10,450,1.5,0.8780606546579226,0.9465501809695902
13,2,10,450,1.5,0.879701323416186,0.9572360602168628
14,2,10,450,1.5,0.8958853229644246,0.9566376225737716
15,2,10,450,1.5,0.8809747224668332,0.958198316085726
16,2,10,450,1.5,0.9035526943252266,0.9578502654894095
17,2,10,450,1.5,0.8808717547972562,0.9426816026697912
18,2,10,450,1.5,0.8620958654762937,0.9443199388350156
19,2,10,450,1.5,0.8621125961692288,0.9441777683943872
20,2,10,450,1.5,0.8879889314847376,0.9635828033198716
21,2,10,450,1.5,0.8934677010077575,0.9577749431679156
22,2,10,450,1.5,0.8701351312248619,0.9333083105652288
23,2,10,450,1.5,0.8809039087947883,0.9465114428945094
24,2,10,450,1.5,0.8694987598777182,0.9465928433672632
25,2,10,450,1.5,0.8773056724968534,0.9499034915977386
26,2,10,450,1.5,0.8775728801783285,0.9484851276314454
27,2,10,450,1.5,0.8820143468702997,0.9579892708734578
28,2,10,450,1.5,0.8771660165596045,0.9492656899140258
29,2,10,450,1.5,0.8924378051615903,0.960543334441668
30,2,10,450,1.5,0.8636777654083595,0.9404596691778292
31,2,10,450,1.5,0.9081312739091668,0.9620476248034028
32,2,10,450,1.5,0.8778349088896333,0.9551694680793716
33,2,10,450,1.5,0.9038205806326296,0.9643998608882344
34,2,10,450,1.5,0.8716326974686298,0.952184068820728
35,2,10,450,1.5,0.8926812308048908,0.9561462591378712
36,2,10,450,1.5,0.8843123510444413,0.9561628115833368
37,2,10,450,1.5,0.8846874319320409,0.954123271536357
38,2,10,450,1.5,0.908297702732082,0.9665929089176816
39,2,10,450,1.5,0.8904774282991075,0.9558179963403808
40,2,10,450,1.5,0.9084725447599072,0.9672275700555404
41,2,10,450,1.5,0.8919956850053937,0.9562209006589716
42,2,10,450,1.5,0.8699615150901358,0.9530950094922772
43,2,10,450,1.5,0.8752945257954003,0.9499694693182276
44,2,10,450,1.5,0.896246726796625,0.9601326081366874
45,2,10,450,1.5,0.8997644595655587,0.9635707932588458
46,2,10,450,1.5,0.8954460026022842,0.9615838950948192
47,2,10,450,1.5,0.8595520344857717,0.9436039278506388
48,2,10,450,1.5,0.8304733387078199,0.9239670289747466
49,2,10,450,1.5,0.8603014783756728,0.9413851114876216
50,2,10,450,1.5,0.8701977197286765,0.948854121423939
1,2,10,450,2.0,0.8866078030533687,0.9559244656027394
2,2,10,450,2.0,0.890551782804908,0.9568278534623472
3,2,10,450,2.0,0.8637684414435913,0.9521090233537972
4,2,10,450,2.0,0.8796973956899176,0.9571412451860576
5,2,10,450,2.0,0.9106342422301976,0.9650910433706557
6,2,10,450,2.0,0.872258628221931,0.9513565095009856
7,2,10,450,2.0,0.8757574455283854,0.9431886765633382
8,2,10,450,2.0,0.8659576920859992,0.9416369428043602
9,2,10,450,2.0,0.8721125812962548,0.9529189719383436
10,2,10,450,2.0,0.8969357672493374,0.9585076599246044
11,2,10,450,2.0,0.9058467802293207,0.96620377477595
12,2,10,450,2.0,0.8989089034622985,0.955831121669286
13,2,10,450,2.0,0.883827011636184,0.9592542671136316
14,2,10,450,2.0,0.8942023097904939,0.9541039523348612
15,2,10,450,2.0,0.894053788742764,0.9658116065207436
16,2,10,450,2.0,0.9092453505007152,0.9619340777668386
17,2,10,450,2.0,0.8770513154467309,0.9392492928983164
18,2,10,450,2.0,0.8668631359972263,0.9461202863168
19,2,10,450,2.0,0.8507977137538358,0.9355159782373512
20,2,10,450,2.0,0.8869224339203874,0.9642357667230864
21,2,10,450,2.0,0.8934677010077575,0.9581106477149116
22,2,10,450,2.0,0.8723921409763014,0.9365383259408736
23,2,10,450,2.0,0.8894834806886924,0.9503893771027416
24,2,10,450,2.0,0.8699025206206379,0.9465865051879137
25,2,10,450,2.0,0.8848284941336458,0.9546036151646452
26,2,10,450,2.0,0.8936398112497467,0.9570745316109684
27,2,10,450,2.0,0.901683443248872,0.966152672432912
28,2,10,450,2.0,0.8909705204239955,0.9557694074725478
29,2,10,450,2.0,0.9028423622413392,0.9664005601557456
30,2,10,450,2.0,0.8672922058206949,0.942420712347006
31,2,10,450,2.0,0.9110363275519888,0.9636423778755814
32,2,10,450,2.0,0.9021601386683756,0.9660521986375636
33,2,10,450,2.0,0.9003541171724416,0.9635925308014452
34,2,10,450,2.0,0.8698629143395953,0.9501621818265163
35,2,10,450,2.0,0.9025902532305732,0.9621863497780532
36,2,10,450,2.0,0.8848450862189822,0.9578434060911104
37,2,10,450,2.0,0.8789370507514702,0.953390109346514
38,2,10,450,2.0,0.9041814624248132,0.9660673085327672
39,2,10,450,2.0,0.893452329376426,0.9568149194781476
40,2,10,450,2.0,0.907813319349764,0.9643736665267248
41,2,10,450,2.0,0.8918518518518519,0.957477263336822
42,2,10,450,2.0,0.8690644983940508,0.9526832044661292
43,2,10,450,2.0,0.8812790008528599,0.9535962769652652
44,2,10,450,2.0,0.8983997672388712,0.9628694887283694
45,2,10,450,2.0,0.893686934775655,0.9626237941086988
46,2,10,450,2.0,0.909960965736591,0.9700623699196284
47,2,10,450,2.0,0.8648530568257944,0.9481402005676056
48,2,10,450,2.0,0.8641598525855119,0.9464327560975836
