seed,radius,duration,noa,F1_score,roc_auc
1,2,1,450,0.4081590604718244,0.752188209913393
2,2,1,450,0.4282778462803123,0.7664390711694979
3,2,1,450,0.4429420200778529,0.7761561084399968
4,2,1,450,0.4223140495867769,0.7618691125832615
5,2,1,450,0.4325105855623257,0.7620414361963352
6,2,1,450,0.4009041405527586,0.7471285777331493
7,2,1,450,0.4168876198245972,0.7478689629886807
8,2,1,450,0.3817733990147783,0.7349583711234113
9,2,1,450,0.4206430473069834,0.746660861377581
10,2,1,450,0.4403915507470376,0.772671598397548
11,2,1,450,0.4190888476602762,0.7684788123487245
12,2,1,450,0.409450415737173,0.7487029795512516
13,2,1,450,0.4171276377791436,0.7504877495707063
14,2,1,450,0.419030004110152,0.7628096769196915
15,2,1,450,0.4429792932934995,0.7717028774378086
16,2,1,450,0.4418343376570319,0.7733827359032759
17,2,1,450,0.3952790143907236,0.738536382289435
18,2,1,450,0.4377691203608775,0.7701243818744692
19,2,1,450,0.4275012827090815,0.7793216005453523
20,2,1,450,0.443374974400983,0.7835575956221346
21,2,1,450,0.4693185322232501,0.7744552093768372
22,2,1,450,0.4120737612032554,0.7665333853074758
23,2,1,450,0.4003322259136213,0.7586065290055805
24,2,1,450,0.4340320591861898,0.7760791385321615
25,2,1,450,0.417892030848329,0.7620772945471934
26,2,1,450,0.4273399014778325,0.7569183061898317
27,2,1,450,0.4188827045969903,0.765349243107684
28,2,1,450,0.4221374832526023,0.7579573274448858
29,2,1,450,0.4207498715973292,0.7584605179287702
30,2,1,450,0.4090629485339348,0.7523056434790082
31,2,1,450,0.4252721538305016,0.7525776211228101
32,2,1,450,0.4139977489000307,0.7641032027337743
33,2,1,450,0.4276600123482198,0.7632212865465778
34,2,1,450,0.442027498460907,0.7669303123324296
35,2,1,450,0.4461743316603503,0.7673640536912449
36,2,1,450,0.4417202982940035,0.7681198561383793
37,2,1,450,0.4383869321082185,0.7611109503307409
38,2,1,450,0.4624075595727198,0.7954030076137477
39,2,1,450,0.4377366213035915,0.7657757293475519
40,2,1,450,0.4195818671082592,0.7629586011264855
41,2,1,450,0.4325699745547073,0.7558603321546243
42,2,1,450,0.4150596877869605,0.7542921209315567
43,2,1,450,0.4357311927549655,0.7581323727160214
44,2,1,450,0.4241361526560082,0.7590731928567586
45,2,1,450,0.4177905899310203,0.7501235079260847
46,2,1,450,0.4534238124614435,0.7854044660099784
47,2,1,450,0.4398195612056592,0.76937859319573
48,2,1,450,0.4040487502582111,0.7490697140774075
49,2,1,450,0.4078528111830609,0.7524977764714237
50,2,1,450,0.4274135631476352,0.758454879217861
1,2,5,450,0.5172029953450719,0.7476777312135029
2,2,5,450,0.5263210719124806,0.7493975281220666
3,2,5,450,0.541321797404416,0.7649436985780639
4,2,5,450,0.509778126344018,0.7385809935603703
5,2,5,450,0.5254552400356551,0.7570556096221385
6,2,5,450,0.5048936546875396,0.7431758556300538
7,2,5,450,0.5313572387725668,0.7564970775537326
8,2,5,450,0.4810202550637659,0.7287816814750463
9,2,5,450,0.5062417131563806,0.7329648399361507
10,2,5,450,0.5267053664224696,0.7546749444151257
11,2,5,450,0.5127499681569226,0.7493308995408979
12,2,5,450,0.5131384853864039,0.7536626609087292
13,2,5,450,0.5107202595164478,0.7470744234334765
14,2,5,450,0.5278782208511391,0.748171939725571
15,2,5,450,0.5137882447665056,0.7349988611182552
16,2,5,450,0.5321198600618567,0.7636727015963729
17,2,5,450,0.5092280817235879,0.7418682826395879
18,2,5,450,0.5174906187825824,0.7568489609730396
19,2,5,450,0.5274963455819346,0.7646689157976929
20,2,5,450,0.5165596146126054,0.7624670668948319
21,2,5,450,0.5393850362190366,0.769028912400669
22,2,5,450,0.512576478585996,0.7476394618352831
23,2,5,450,0.5124307285576287,0.7510973610920091
24,2,5,450,0.5339769213364507,0.768712207708558
25,2,5,450,0.5043530925883867,0.7406234255907502
26,2,5,450,0.5131426265072397,0.750793443912862
27,2,5,450,0.5285953092548503,0.7556197726181784
28,2,5,450,0.518420919272285,0.7548371183420199
29,2,5,450,0.5169444303733347,0.7698864362019491
30,2,5,450,0.4966564889348709,0.748646577777099
31,2,5,450,0.5179564237415477,0.7482137806443824
32,2,5,450,0.5207064555420219,0.7681957135574236
33,2,5,450,0.5088908136750395,0.754115200247808
34,2,5,450,0.5379031238143417,0.7566091020325174
35,2,5,450,0.5361881785283474,0.7500231047950348
36,2,5,450,0.5166670828235411,0.7616408275454495
37,2,5,450,0.5221866249590071,0.7531096496054355
38,2,5,450,0.5398604946100191,0.779552936598841
39,2,5,450,0.5413246033744649,0.7702146208721039
40,2,5,450,0.52497956681651,0.75266823949515
41,2,5,450,0.5234761738086904,0.7561498513300341
42,2,5,450,0.5274901597011558,0.7593727616289525
43,2,5,450,0.5340115396295172,0.7596249381325149
44,2,5,450,0.5269518852354957,0.7631169615525422
45,2,5,450,0.5117136221347066,0.747907251820242
46,2,5,450,0.5423814328960646,0.7728811221948166
47,2,5,450,0.5271184293856871,0.7637583885341036
48,2,5,450,0.5020667405988507,0.7414477873325965
49,2,5,450,0.5074386000302588,0.744558161913604
50,2,5,450,0.5129494593915012,0.7502598359445728
1,2,10,450,0.5431110724486393,0.738301818001841
2,2,10,450,0.5532246204420607,0.750678523029137
3,2,10,450,0.5617990145847078,0.7524348168738495
4,2,10,450,0.5550644193562412,0.742954803000281
5,2,10,450,0.5600810114518027,0.7416349047145604
6,2,10,450,0.5515363331877093,0.7391403110679162
7,2,10,450,0.5563338920165599,0.7344402760497479
8,2,10,450,0.5268026975618191,0.720015516276986
9,2,10,450,0.5446568737385064,0.7376737179788045
10,2,10,450,0.5559691492212858,0.7404477955219144
11,2,10,450,0.5475855462084244,0.7372453055669793
12,2,10,450,0.5485265901085369,0.7368914819560552
13,2,10,450,0.5452590903148017,0.7425923359409561
14,2,10,450,0.5577447623469328,0.7456396639118644
15,2,10,450,0.559339406100677,0.7428014674582512
16,2,10,450,0.5662851692894612,0.7490408264656414
17,2,10,450,0.542618158664004,0.7306665918713846
18,2,10,450,0.554679148247667,0.7334866323928497
19,2,10,450,0.5550691545834,0.7413758179443983
20,2,10,450,0.5622459862220044,0.7595000898577275
21,2,10,450,0.5750163126223446,0.7601686952208164
22,2,10,450,0.5573077924708469,0.7400643492858945
23,2,10,450,0.5390006979990694,0.7338554077049779
24,2,10,450,0.5723885331949011,0.7548701913196862
25,2,10,450,0.5563126600407968,0.7376600477799675
26,2,10,450,0.5462177575775121,0.740761082613874
27,2,10,450,0.5601642948050446,0.7423324158700144
28,2,10,450,0.5518321418731784,0.7415697994046662
29,2,10,450,0.5470530109276912,0.7400916988015137
30,2,10,450,0.5378576488788006,0.7373348504007271
31,2,10,450,0.5567060718497425,0.7382274891243927
32,2,10,450,0.549051024718512,0.7439384222579601
33,2,10,450,0.5512573400869604,0.7509693307550167
34,2,10,450,0.5723362587945166,0.7465006246308385
35,2,10,450,0.5665816770006374,0.7572088688419633
36,2,10,450,0.5627085377821394,0.7446645667916176
37,2,10,450,0.5552602918754084,0.743021212874867
38,2,10,450,0.5751141387057033,0.7632203198514492
39,2,10,450,0.5598879357652428,0.7447230476304524
40,2,10,450,0.5564461757435014,0.7503883465703491
41,2,10,450,0.5520316432937792,0.7435064612490959
42,2,10,450,0.5597384183570127,0.7498012746007623
43,2,10,450,0.5562959857760303,0.7416290945265271
44,2,10,450,0.5476578411405295,0.7409725062963175
45,2,10,450,0.5486347378522202,0.7368512032383203
46,2,10,450,0.5745554431111753,0.7572945429303506
47,2,10,450,0.568374450237381,0.7585932828244619
48,2,10,450,0.5383220085224001,0.7213278204993153
49,2,10,450,0.5468684260159299,0.739140182226743
50,2,10,450,0.5522874873719151,0.7321094669787882
1,2,15,450,0.5739994273001608,0.7280470976649513
2,2,15,450,0.5823639452125486,0.725148354993811
3,2,15,450,0.6014667320442578,0.7424664630730586
4,2,15,450,0.5821549711466455,0.7354434543276807
5,2,15,450,0.5880469819402129,0.7403972607353537
6,2,15,450,0.5699898180530346,0.7254560198337816
7,2,15,450,0.5897851946572679,0.7313682223264377
8,2,15,450,0.5700502858865714,0.720496060560396
9,2,15,450,0.5775072736607907,0.723713205061559
10,2,15,450,0.5856346241255834,0.7362964545038271
11,2,15,450,0.5780667885931043,0.7299300985328985
12,2,15,450,0.5741579333247078,0.7254059154455841
13,2,15,450,0.5837495324635321,0.728691769416886
14,2,15,450,0.5842154540948394,0.7265933939574226
15,2,15,450,0.5821457498741271,0.7275642413231426
16,2,15,450,0.5915996021340085,0.7439618768405015
17,2,15,450,0.5746896877550144,0.7153383237974875
18,2,15,450,0.5844030244417091,0.7326472702309088
19,2,15,450,0.5840682472856193,0.725857544945048
20,2,15,450,0.5897444338370039,0.7362613285484241
21,2,15,450,0.5918080646223413,0.7378459984958878
22,2,15,450,0.5831619466593346,0.7307440523792889
23,2,15,450,0.57368601096876,0.7238160240679298
24,2,15,450,0.5882530055702518,0.734499441745032
25,2,15,450,0.5859052141035787,0.7316158320100649
26,2,15,450,0.5857014131557549,0.731680148504287
27,2,15,450,0.5787460429124165,0.7296242046793617
28,2,15,450,0.5682196798358359,0.7209370962524894
29,2,15,450,0.5854821091655358,0.7368159915770096
30,2,15,450,0.5747764550990181,0.7167648041441175
31,2,15,450,0.5751562516750823,0.7220733930794258
32,2,15,450,0.5785864861866193,0.7328736431195292
33,2,15,450,0.5739774600808546,0.7235264338328584
34,2,15,450,0.5928425402826932,0.736870406631918
35,2,15,450,0.5873377087387179,0.7330821608981241
36,2,15,450,0.5898544520547945,0.73644975411442
37,2,15,450,0.5839263059186938,0.7294660875838974
38,2,15,450,0.6004710440007924,0.7484655890976605
39,2,15,450,0.5914453146393559,0.7408595866116943
40,2,15,450,0.5822546854651492,0.7305136813508175
41,2,15,450,0.573746646410447,0.7164199281210739
42,2,15,450,0.5799171295071851,0.727468713836686
43,2,15,450,0.5891922664272733,0.7349640098248382
44,2,15,450,0.5759802026138736,0.7223423840177842
45,2,15,450,0.5812216944659229,0.7193021007437259
46,2,15,450,0.5880829299880368,0.7257193363759755
47,2,15,450,0.5905008692955938,0.7385502042167312
48,2,15,450,0.578266702441642,0.7241209044968877
49,2,15,450,0.5761864929118605,0.7174978464438806
50,2,15,450,0.5850370896719529,0.727708007805687
1,2,20,450,0.5991076169273332,0.7146998810582716
2,2,20,450,0.6084865706713298,0.7126533413130004
3,2,20,450,0.6253704695590073,0.728128781613935
4,2,20,450,0.6075172542436112,0.7199789653575723
5,2,20,450,0.6099609429618099,0.727089875695195
6,2,20,450,0.6042403488089223,0.7220879340938434
7,2,20,450,0.6133116675643354,0.7125433801626211
8,2,20,450,0.5995596041919833,0.7127575028716262
9,2,20,450,0.6033055598462614,0.7124555284667525
10,2,20,450,0.6152477454276429,0.7286558132403961
11,2,20,450,0.6048383314416502,0.7195260678818514
12,2,20,450,0.6036756153166147,0.7171115917433132
13,2,20,450,0.6111323161138368,0.7243966745697278
14,2,20,450,0.604510435635243,0.7117289143958808
15,2,20,450,0.6150850958813959,0.7328338623001269
16,2,20,450,0.6119201751785731,0.732973654388722
17,2,20,450,0.6056754624982074,0.708237247070514
18,2,20,450,0.6011063536040449,0.7145174673277007
19,2,20,450,0.6115338893413084,0.73033379211232
20,2,20,450,0.61937780760126,0.7398365628489675
21,2,20,450,0.6168344279680726,0.7272971877674581
22,2,20,450,0.6155716169086778,0.7239824031001509
23,2,20,450,0.6035955939468242,0.7097472009402479
24,2,20,450,0.6112364888941679,0.7249197550944206
25,2,20,450,0.6014571782064794,0.7143038146312403
26,2,20,450,0.61030341919516,0.7189296564195746
27,2,20,450,0.6165493474116439,0.7272109015109637
28,2,20,450,0.6000522271133328,0.7143808095995098
29,2,20,450,0.5987100392596747,0.7095066479498795
30,2,20,450,0.6042059410289731,0.7096701788983956
31,2,20,450,0.6093637498746821,0.7209141881044224
32,2,20,450,0.5993541766693968,0.7233811377580706
33,2,20,450,0.6033008854634818,0.72674203450486
34,2,20,450,0.6210194583898274,0.7279654966797635
35,2,20,450,0.6186275057233793,0.7304617356736105
36,2,20,450,0.625160333675985,0.7286735523131327
37,2,20,450,0.610998533902341,0.7209498279130051
38,2,20,450,0.619357602510733,0.7402024956967925
39,2,20,450,0.6162738588452639,0.7266446355598775
40,2,20,450,0.6108540176693311,0.7227976339564907
41,2,20,450,0.6054133138258961,0.7178726589102163
42,2,20,450,0.6053651294596588,0.7212253027694766
43,2,20,450,0.6108808811556019,0.7198172457537702
44,2,20,450,0.60099685204617,0.7218202726962929
45,2,20,450,0.6079881933157728,0.723473899927297
46,2,20,450,0.6168942296960452,0.7250033645368785
47,2,20,450,0.6181144018202418,0.7332557774750605
48,2,20,450,0.6042277958957495,0.7110531037666419
49,2,20,450,0.6028218300945574,0.7138548214660937
50,2,20,450,0.6062116564417178,0.7148178221997941
1,2,25,450,0.6220117125935265,0.7065613343127292
2,2,25,450,0.6267650158061117,0.7006729271060568
3,2,25,450,0.6456430874567095,0.7160155708009633
4,2,25,450,0.6322132366997183,0.7235181350627127
5,2,25,450,0.6299672434900573,0.7186918500496013
6,2,25,450,0.6251102274428897,0.710304967996753
7,2,25,450,0.631749495212662,0.7134438692098093
8,2,25,450,0.6258271669328813,0.7080982692457216
9,2,25,450,0.6276581094108212,0.7060736135354856
10,2,25,450,0.6350216594468511,0.7198992471155837
11,2,25,450,0.6326987961844462,0.7168995614752677
12,2,25,450,0.638195204457268,0.7261924573374707
13,2,25,450,0.6335050282070149,0.7167376592145852
14,2,25,450,0.6270250490668973,0.7132449680984159
15,2,25,450,0.629360607146347,0.713629186020862
16,2,25,450,0.6286351943029457,0.7243877120863086
17,2,25,450,0.6283548142532221,0.6988315474470931
18,2,25,450,0.6302542661690509,0.714692695896441
19,2,25,450,0.6242275854028215,0.7148579645366511
20,2,25,450,0.6356994169797394,0.7321546246000551
21,2,25,450,0.6411671728498249,0.7280934116724928
22,2,25,450,0.6293346690040905,0.7203623945538382
23,2,25,450,0.6234171147513651,0.7121663717802151
24,2,25,450,0.6381850707432103,0.7195379629785772
25,2,25,450,0.62889375040815,0.7118297160575873
26,2,25,450,0.6294105149618395,0.7140851007712534
27,2,25,450,0.6420551320423991,0.7244781880269855
28,2,25,450,0.625035306627677,0.7125638877433007
29,2,25,450,0.6276627612834509,0.7166427904882993
30,2,25,450,0.6250469180932486,0.7092519877886779
31,2,25,450,0.6278496260183776,0.707076841026811
32,2,25,450,0.6242368302947677,0.7112267091070107
33,2,25,450,0.6210182412197114,0.7129726236932228
34,2,25,450,0.6365319522042331,0.7213610645251352
35,2,25,450,0.6448329313074544,0.7300208122769636
36,2,25,450,0.643483480560355,0.7262128869689208
37,2,25,450,0.6372609397626459,0.724565077319891
38,2,25,450,0.6330241002810456,0.7187277735563256
39,2,25,450,0.6423686487015848,0.7311082537822718
40,2,25,450,0.6232607920085622,0.71402104042006
41,2,25,450,0.6271664980252636,0.7078029068796041
42,2,25,450,0.6241759339415329,0.7155657817762004
43,2,25,450,0.6353253825272477,0.7135260006831301
44,2,25,450,0.6304480201529825,0.7227287534902123
45,2,25,450,0.6314433203933533,0.7159481035647294
46,2,25,450,0.6377130564289261,0.7245604000923986
47,2,25,450,0.6339752773798021,0.72558341868257
48,2,25,450,0.6338691397832299,0.7004119321297388
49,2,25,450,0.6273268245785609,0.7137901397492346
50,2,25,450,0.6323190729242112,0.7161397632897211
