seed,radius,duration,noa,F1_score,roc_auc
1,2,1,450,0.5418769959822808,0.824804211736797
2,2,1,450,0.5782983970406905,0.8440557196167185
3,2,1,450,0.57979922147101,0.8356548711780318
4,2,1,450,0.5828512396694215,0.8527587373710647
5,2,1,450,0.5715170918103893,0.8430041807297682
6,2,1,450,0.5515257371827802,0.8222779336643952
7,2,1,450,0.5594533958800735,0.8484884270045996
8,2,1,450,0.5096469622331691,0.8076670726388679
9,2,1,450,0.5607208683186565,0.8434843561183921
10,2,1,450,0.5786707882534776,0.8495807269707678
11,2,1,450,0.5304061018346733,0.8185616998371232
12,2,1,450,0.5911579801257352,0.8647883258633093
13,2,1,450,0.5459946732227002,0.8048104904006586
14,2,1,450,0.5655569256062475,0.8145821959419315
15,2,1,450,0.5869990728340373,0.8609680091311639
16,2,1,450,0.5942191808804004,0.8422831260563169
17,2,1,450,0.5456051351071539,0.8179305626857558
18,2,1,450,0.5966782858314538,0.8495611811949118
19,2,1,450,0.5834787070292458,0.8429256157852064
20,2,1,450,0.6045463854187999,0.8669247678336991
21,2,1,450,0.585877274128893,0.8653976628439468
22,2,1,450,0.5624806840424436,0.8447395092442622
23,2,1,450,0.5425664451827242,0.8201010619988778
24,2,1,450,0.5692560624743116,0.8377041627275463
25,2,1,450,0.57706940874036,0.8490893076050418
26,2,1,450,0.5486453201970444,0.8149223168819306
27,2,1,450,0.5551432694289837,0.8524868993986573
28,2,1,450,0.5550860558590127,0.8761430335884471
29,2,1,450,0.5557267591165896,0.831361058434358
30,2,1,450,0.5476727496411729,0.8141773969319273
31,2,1,450,0.5646556109471971,0.8162494259890104
32,2,1,450,0.5404686380845186,0.8801870776443008
33,2,1,450,0.5548466762708376,0.828062578451074
34,2,1,450,0.5583829263287503,0.8229882137742901
35,2,1,450,0.559254327563249,0.8276844300981345
36,2,1,450,0.5988354275206865,0.8790428729986247
37,2,1,450,0.5915262889229198,0.8586336044285365
38,2,1,450,0.6062037797863599,0.8534988475670153
39,2,1,450,0.5742351376240663,0.8901016561450182
40,2,1,450,0.5891119850962534,0.8837451175573082
41,2,1,450,0.5514503816793893,0.8697491314909386
42,2,1,450,0.5481073359861238,0.8224570731224932
43,2,1,450,0.5672532674693835,0.8304328962788404
44,2,1,450,0.5728726147498711,0.8866353560718598
45,2,1,450,0.5436013590033975,0.8230984125816
46,2,1,450,0.5924326547398725,0.8529294568402074
47,2,1,450,0.5630510559770351,0.8415291585155996
48,2,1,450,0.5335674447428217,0.8489729274393475
49,2,1,450,0.5533970603350807,0.8384716504030331
50,2,1,450,0.5696111624089464,0.8526835272491236
1,2,5,450,0.5944140862173649,0.8430681857892375
2,2,5,450,0.643850052692327,0.8398838479676224
3,2,5,450,0.64669550648896,0.8628468880608997
4,2,5,450,0.6403724036734384,0.856216964904148
5,2,5,450,0.6117916719724946,0.8458042785209259
6,2,5,450,0.6097974254571205,0.8561072632396551
7,2,5,450,0.6395782563286417,0.8542272814409437
8,2,5,450,0.530432608152038,0.8067489234120644
9,2,5,450,0.6258224301403448,0.8392431957082647
10,2,5,450,0.6060483155466552,0.8271962224647981
11,2,5,450,0.6207107374856706,0.8320322642593714
12,2,5,450,0.6252968972672951,0.8552865913231875
13,2,5,450,0.6205585686045922,0.8216676144652777
14,2,5,450,0.6486964877234683,0.8350114264086381
15,2,5,450,0.615036231884058,0.8527534311363085
16,2,5,450,0.6461998681742128,0.823480874910162
17,2,5,450,0.6050279753917821,0.8490472996583099
18,2,5,450,0.6374694638224998,0.8364829887153244
19,2,5,450,0.649226271485458,0.841607750263176
20,2,5,450,0.6287133681252509,0.8467844195752279
21,2,5,450,0.6249430120054709,0.8350569907914234
22,2,5,450,0.6151018455573181,0.8030048502323825
23,2,5,450,0.6009456505160404,0.8105081821319003
24,2,5,450,0.6021067451039546,0.8039799043913662
25,2,5,450,0.6264920382567442,0.8567915119429852
26,2,5,450,0.6403309621108925,0.8520572997083861
27,2,5,450,0.5685628894179626,0.7831367753970966
28,2,5,450,0.6271727562965591,0.8123884566972963
29,2,5,450,0.5576718504635023,0.8285841175047873
30,2,5,450,0.5699361578641904,0.8296967742647163
31,2,5,450,0.6384172301527673,0.8660561196850229
32,2,5,450,0.6208384084449858,0.8038683005929146
33,2,5,450,0.6444693534416874,0.8543895712157814
34,2,5,450,0.6181358290122676,0.8386316291970188
