seed,radius,duration,noa,F1_score,roc_auc
1,2,1,450,0.5486762130421345,0.8355789130831273
2,2,1,450,0.5760378133990958,0.8486344482007488
3,2,1,450,0.5625896332718705,0.8263193950750023
4,2,1,450,0.5553719008264463,0.8369901755992372
5,2,1,450,0.5942373231436539,0.8623117271978695
6,2,1,450,0.5359087639987671,0.8242035021445061
7,2,1,450,0.5704670609830715,0.8557954457627052
8,2,1,450,0.5213464696223317,0.8087591449734999
9,2,1,450,0.547204587343846,0.8176967673241885
10,2,1,450,0.5821741370427614,0.8474922910192878
11,2,1,450,0.575345289631004,0.8399835042510138
12,2,1,450,0.555059825593186,0.8669389786862054
13,2,1,450,0.5320631018233969,0.8198494194223751
14,2,1,450,0.5715166461159062,0.8160034673861463
15,2,1,450,0.5814360770577933,0.8306684384038787
16,2,1,450,0.571953835154734,0.8517429927340252
17,2,1,450,0.5543016875452945,0.8475268825882994
18,2,1,450,0.5681771580889892,0.8412074098940658
19,2,1,450,0.5598768599281683,0.8567834077715986
20,2,1,450,0.5789473684210527,0.8790090476656869
21,2,1,450,0.5708705930722582,0.842600854315529
22,2,1,450,0.5832904089832079,0.8334274095276702
23,2,1,450,0.5388289036544851,0.8426606665941808
24,2,1,450,0.6021372790793259,0.8512805982118815
25,2,1,450,0.5805655526992288,0.867297768226657
26,2,1,450,0.56876026272578,0.8493642386309191
27,2,1,450,0.5625644197072769,0.8746411010209766
28,2,1,450,0.5721941667525507,0.8743493864730323
29,2,1,450,0.5244992295839753,0.8033054971056572
30,2,1,450,0.5286036497847038,0.8485031619100002
31,2,1,450,0.5654695289449588,0.8356001574695784
32,2,1,450,0.5666632559091375,0.8625746046751976
33,2,1,450,0.5787199012142417,0.8451321533838012
34,2,1,450,0.5540734660373486,0.8411087038354642
35,2,1,450,0.5713407764006965,0.8436177581238913
36,2,1,450,0.5683930942895087,0.8608033161209756
37,2,1,450,0.5715160796324655,0.8516049273265849
38,2,1,450,0.597986852917009,0.9032813104083712
39,2,1,450,0.5813977284354855,0.8902278074298775
40,2,1,450,0.5466777064789898,0.8768979793597991
41,2,1,450,0.5742493638676844,0.8350083781341384
42,2,1,450,0.5489235792266095,0.8125687482273318
43,2,1,450,0.5641658948235052,0.9005925595560028
44,2,1,450,0.5369778236204229,0.8600074533857819
45,2,1,450,0.5625450427262432,0.8155347433116658
46,2,1,450,0.5770100760847213,0.8303761665495587
47,2,1,450,0.566741849497642,0.8457746641730427
48,2,1,450,0.5325346002891964,0.8326371654049485
49,2,1,450,0.5464076472402097,0.8267700017645991
50,2,1,450,0.5495024109982559,0.8734850481473732
1,2,5,450,0.6799230924913985,0.8463604000039182
2,2,5,450,0.6685401716264365,0.8859235552997531
3,2,5,450,0.6586982070965968,0.8336034904697771
4,2,5,450,0.664457206466466,0.8821350862461669
5,2,5,450,0.6612504775245129,0.891056557249868
6,2,5,450,0.6659416807870312,0.8849374477106411
7,2,5,450,0.6607649077435719,0.8379641034482466
8,2,5,450,0.6053013253313329,0.8497025872046461
9,2,5,450,0.6453356015310334,0.8646839633750798
10,2,5,450,0.706431088240513,0.8686961277607963
11,2,5,450,0.6677365940644504,0.8849300956299979
12,2,5,450,0.6482486186463985,0.8767856175574973
13,2,5,450,0.6631354858330376,0.8457308730944519
14,2,5,450,0.6900649859660657,0.8434091925058717
15,2,5,450,0.6814110305958132,0.8955883068066621
16,2,5,450,0.665314607311261,0.8804926967680611
17,2,5,450,0.6647256892579559,0.8720308309369851
18,2,5,450,0.6710655551917798,0.8792192430222243
19,2,5,450,0.6415645949896668,0.8688387394257703
20,2,5,450,0.6532517061421116,0.8790558863783775
21,2,5,450,0.6549820171217263,0.8771249514865305
22,2,5,450,0.6639474280534784,0.827784911597996
23,2,5,450,0.6502618333418069,0.8727698284225919
24,2,5,450,0.6946225205520778,0.8911637115993478
25,2,5,450,0.6437025260554672,0.8706372204241246
26,2,5,450,0.6763533625952273,0.8837597869470963
27,2,5,450,0.6655691201053645,0.8833213648051378
28,2,5,450,0.6350276187097755,0.8745286916045514
29,2,5,450,0.6763588470695506,0.8467594741063005
30,2,5,450,0.6405914860329557,0.872456379874773
31,2,5,450,0.684748309541698,0.8521558509088487
32,2,5,450,0.702801461632156,0.874980803951084
33,2,5,450,0.6964895297294543,0.8785512346123987
34,2,5,450,0.6854179840647527,0.8843758431196583
35,2,5,450,0.6953659026940089,0.8891388652133312
36,2,5,450,0.6810157556992684,0.8881928256679563
37,2,5,450,0.6618904669407937,0.869870711957252
38,2,5,450,0.6871274571972099,0.9032433483928204
39,2,5,450,0.7290858725761773,0.9051614673648604
40,2,5,450,0.6666326113608501,0.8934336574005022
41,2,5,450,0.6398319915995799,0.8677773361867339
42,2,5,450,0.6630230400882493,0.883665668441054
43,2,5,450,0.7101427269966596,0.8637945525378974
44,2,5,450,0.6626380601751936,0.8812062151139372
45,2,5,450,0.6325355952741594,0.8753343463923295
46,2,5,450,0.6680625630676085,0.885083454180428
47,2,5,450,0.6488663711209627,0.8766521322448575
48,2,5,450,0.6432604093154551,0.8162344588061412
49,2,5,450,0.6704321952695547,0.8830775661029313
50,2,5,450,0.6442041740005029,0.8706539951743909
1,2,10,450,0.7058704130601829,0.8732819807967904
2,2,10,450,0.7325576365759765,0.8633055145220487
3,2,10,450,0.7418408456042337,0.8900963674097087
4,2,10,450,0.7367429457544094,0.8902461599904622
5,2,10,450,0.7854834626438921,0.8920026989990032
6,2,10,450,0.7160040774719674,0.8595095413433649
7,2,10,450,0.7088400876702909,0.8611875818991965
8,2,10,450,0.6883682056602686,0.8555819297717153
9,2,10,450,0.7361235703072437,0.869808263638037
10,2,10,450,0.7419374050802537,0.8914882285907773
11,2,10,450,0.7443942160883753,0.8920193905666183
12,2,10,450,0.7707838139694722,0.8947827901748432
13,2,10,450,0.7166494762990834,0.8844517109807285
14,2,10,450,0.7648134176774418,0.876316256009633
15,2,10,450,0.6977811782708493,0.8728209841255246
16,2,10,450,0.739687649022413,0.8875437756900654
17,2,10,450,0.6924256895603601,0.8565986169199795
18,2,10,450,0.7101210597786831,0.8699161484742508
19,2,10,450,0.7142337730333483,0.8709346625655559
20,2,10,450,0.7474994955754763,0.8894933476728945
21,2,10,450,0.7220184151381135,0.8817260411440746
22,2,10,450,0.7322260482074134,0.8630242555902785
23,2,10,450,0.7134713820381573,0.8667148037968284
24,2,10,450,0.7282690200149968,0.8821278467346112
25,2,10,450,0.7409979312240499,0.8691890494843518
