seed,radius,duration,noa,F1_score,roc_auc
1,2,1,450,0.4213454208303286,0.7457050463557042
2,2,1,450,0.4231401561857789,0.7509314322913776
3,2,1,450,0.4488834255275558,0.7614557220050615
4,2,1,450,0.440702479338843,0.7462214241619229
5,2,1,450,0.4467623670350098,0.7531040835245667
6,2,1,450,0.4173430596938251,0.7432493008602153
7,2,1,450,0.4342239445237609,0.7486692588027347
8,2,1,450,0.3823891625615763,0.7191649408305694
9,2,1,450,0.433954536145812,0.7554261236957591
10,2,1,450,0.4405976300875837,0.7525213458280784
11,2,1,450,0.4349618635332921,0.7495293301197139
12,2,1,450,0.4297302778341107,0.7522924284264157
13,2,1,450,0.4261421839786929,0.7517014495846746
14,2,1,450,0.4508836826962598,0.7540774431393271
15,2,1,450,0.4508086947563613,0.7583649130379423
16,2,1,450,0.4442855683791237,0.751749899184726
17,2,1,450,0.4188839424371053,0.7425688313194717
18,2,1,450,0.4400246052901373,0.7567970680914884
19,2,1,450,0.4459722934838379,0.7570466034562997
20,2,1,450,0.4646733565431087,0.7684934328689277
21,2,1,450,0.4800082228389351,0.7892623072245536
22,2,1,450,0.4318533017410116,0.7492760494017598
23,2,1,450,0.4258720930232558,0.7381062829507766
24,2,1,450,0.4490341142622277,0.7670838165702142
25,2,1,450,0.4236503856041131,0.7472284724552734
26,2,1,450,0.4236453201970443,0.7497894167978263
27,2,1,450,0.4232117089259946,0.7484978944131173
28,2,1,450,0.4340925486962795,0.7470378560476656
29,2,1,450,0.4063687724704674,0.7362083497978232
30,2,1,450,0.4135739183924544,0.7511612997649996
31,2,1,450,0.4260860718282633,0.7427571963294383
32,2,1,450,0.4303693850404175,0.75383283915785
33,2,1,450,0.4566783288742539,0.7799625825444891
34,2,1,450,0.45372460496614,0.7521656980760117
35,2,1,450,0.4568267950425074,0.7644179296892074
36,2,1,450,0.4441720298294003,0.7528883254899773
37,2,1,450,0.4526799387442572,0.753238375628416
38,2,1,450,0.4634346754313886,0.7793066935650005
39,2,1,450,0.4487874756983526,0.7592599142815393
40,2,1,450,0.4214448354377975,0.741415979013945
41,2,1,450,0.428295165394402,0.7597759979378711
42,2,1,450,0.4356698296092235,0.7498422569312004
43,2,1,450,0.4602243490789338,0.7697843081402431
44,2,1,450,0.42867457452295,0.7389600868117439
