seed,radius,duration,noa,F1_score,roc_auc
1,1,1,100,0.2372881355932203,0.8122572272624405
2,1,1,100,0.233970753655793,0.7523785868771573
3,1,1,100,0.2152112676056338,0.7266251071450733
4,1,1,100,0.2298591549295774,0.7683983026235647
5,1,1,100,0.2529510961214165,0.7893858363245504
6,1,1,100,0.2218487394957983,0.7547628163008349
7,1,1,100,0.2156092083099382,0.7509593439262261
8,1,1,100,0.2025598219254313,0.7556037081056293
9,1,1,100,0.2270938729623384,0.7618273944429644
10,1,1,100,0.2353603603603603,0.7613197464789823
11,1,1,100,0.2537900056148231,0.7770468607310899
12,1,1,100,0.2757847533632287,0.8343165870409078
13,1,1,100,0.2141255605381166,0.7203594186867178
14,1,1,100,0.2031425364758698,0.7310693947898671
15,1,1,100,0.2164599774520856,0.7589862013536526
16,1,1,100,0.2417088251826869,0.7525644500557916
17,1,1,100,0.2115925717501406,0.720878625946816
18,1,1,100,0.2124789207419898,0.7339748973719761
19,1,1,100,0.2302077484559236,0.7508960729294579
20,1,1,100,0.2312464749012972,0.7636451398459594
21,1,1,100,0.2357586012408347,0.7373705707001719
22,1,1,100,0.1971830985915492,0.7676255713068919
23,1,1,100,0.2887760857304005,0.8141999697634873
24,1,1,100,0.2738028169014084,0.7849563805485422
25,1,1,100,0.210762331838565,0.7322268859089551
26,1,1,100,0.2217220033764772,0.7629451367250123
27,1,1,100,0.2312464749012972,0.7661001992237857
28,1,1,100,0.2417459429210968,0.8010661283089882
29,1,1,100,0.2067796610169491,0.7285906185567083
30,1,1,100,0.2523943661971831,0.7759656764449732
31,1,1,100,0.2380685008422234,0.7258604706094689
32,1,1,100,0.2652490207050923,0.7817503548146771
33,1,1,100,0.2386877828054298,0.7820506221333925
34,1,1,100,0.24,0.7754530911928426
35,1,1,100,0.2215973003374578,0.7599990980585142
36,1,1,100,0.2341736694677871,0.7170058243190427
37,1,1,100,0.2448295136948015,0.7711885636590184
38,1,1,100,0.2197183098591549,0.7230019051226642
39,1,1,100,0.2258426966292135,0.7597484254978538
40,1,1,100,0.2490185081323611,0.7693217889767971
41,1,1,100,0.1993318485523385,0.7427023589394485
42,1,1,100,0.2750556792873051,0.7966273102678071
43,1,1,100,0.197752808988764,0.7414335982089121
44,1,1,100,0.1993243243243243,0.7643782263094338
45,1,1,100,0.2300785634118967,0.7470100564877697
46,1,1,100,0.2452407614781634,0.738969055540404
47,1,1,100,0.257558790593505,0.7764785329149225
48,1,1,100,0.2323745064861816,0.7581515527862125
49,1,1,100,0.2487394957983193,0.7763543043655402
50,1,1,100,0.248314606741573,0.7907818039024039
1,1,1,500,0.4044572843582336,0.7592354169573042
2,1,1,500,0.4563647617082731,0.7833830088852858
3,1,1,500,0.4745413316841888,0.7719328104605024
4,1,1,500,0.4150943396226415,0.7362299358032465
5,1,1,500,0.4181893687707641,0.7512976329647907
6,1,1,500,0.3828996282527881,0.7413806809012173
7,1,1,500,0.425025641025641,0.7638500712110048
8,1,1,500,0.4152892561983471,0.7318842876366786
9,1,1,500,0.4007390679531923,0.738869422905669
10,1,1,500,0.4464175098079703,0.7597301394909732
11,1,1,500,0.4263917525773196,0.7510305088774216
12,1,1,500,0.4068144499178981,0.7612891601676999
13,1,1,500,0.4250928600907965,0.7596014995341132
14,1,1,500,0.4418316831683168,0.7585739767482244
15,1,1,500,0.4428837017145218,0.7678858717377539
16,1,1,500,0.449239621866009,0.7772174636198778
17,1,1,500,0.4233879328218951,0.761824072051788
18,1,1,500,0.4524103831891223,0.7634845212907849
19,1,1,500,0.414961768960529,0.7644014705520118
20,1,1,500,0.4520661157024793,0.7851961598452293
21,1,1,500,0.4417885843807954,0.777659494333999
22,1,1,500,0.4284238793637678,0.7562741952365304
23,1,1,500,0.3797887761441292,0.7653958270398485
24,1,1,500,0.4076590487955528,0.7930417597473278
25,1,1,500,0.4515195369030391,0.7914797003578362
26,1,1,500,0.4311624072547403,0.7438172525410934
27,1,1,500,0.4417304905816601,0.7814943022086154
28,1,1,500,0.4078593588417787,0.752364815611083
29,1,1,500,0.4389739346297062,0.8038770210182273
30,1,1,500,0.4256812551610239,0.7820957250888179
31,1,1,500,0.4045314109165808,0.7597289629901961
32,1,1,500,0.4184894758563764,0.7516153229007976
33,1,1,500,0.4255495644960597,0.769195587812586
34,1,1,500,0.4207279457125231,0.750975066446735
35,1,1,500,0.4284539473684211,0.7799291367968261
36,1,1,500,0.4372169617126389,0.78756425666631
37,1,1,500,0.4168377823408624,0.7648168519953554
38,1,1,500,0.4542079207920792,0.7613654956756515
39,1,1,500,0.4154987633965375,0.7703881759263209
40,1,1,500,0.453377538334024,0.7688836642931096
41,1,1,500,0.4054164956914239,0.7490387855913154
42,1,1,500,0.4233216998562923,0.7502522669954792
43,1,1,500,0.4310808018185575,0.7544456653567775
44,1,1,500,0.4656741108354011,0.7771496177575556
45,1,1,500,0.4047078257278546,0.7409816958066389
46,1,1,500,0.4362734972113199,0.8015671922942007
47,1,1,500,0.443849165464661,0.7832126250845847
48,1,1,500,0.4380045539225833,0.7817261434154463
49,1,1,500,0.3896800825593395,0.7342837289767393
50,1,1,500,0.4143475572047,0.7437359548806846
1,1,1,1000,0.4547996272134203,0.7819769292852531
2,1,1,1000,0.4535100434872644,0.7633491610485791
3,1,1,1000,0.4854930304594734,0.7905891104282772
4,1,1,1000,0.447188213322266,0.7601173418486944
5,1,1,1000,0.4755463059313215,0.775868738984806
6,1,1,1000,0.4513917739925218,0.7674869121429484
7,1,1,1000,0.4476131432114073,0.7657211226220133
8,1,1,1000,0.4688856729377713,0.766116459549342
9,1,1,1000,0.4385114936604474,0.755789509609285
10,1,1,1000,0.4357009732863947,0.7491821529093281
11,1,1,1000,0.4556726596404216,0.7821430919447278
12,1,1,1000,0.4538596672522476,0.7813974312863837
13,1,1,1000,0.472908449242267,0.7635565545743188
14,1,1,1000,0.4758056159983421,0.7852942660846802
15,1,1,1000,0.4611549646863315,0.7831328436103325
16,1,1,1000,0.4409854654159365,0.7578447916331064
17,1,1,1000,0.4660779220779221,0.7598592122839
18,1,1,1000,0.4608551952076017,0.7773623453993117
19,1,1,1000,0.4701244813278008,0.7683295418267004
20,1,1,1000,0.4303771239121425,0.7611816636927937
21,1,1,1000,0.4861901313747802,0.7829497490746511
22,1,1,1000,0.476397966594045,0.7878164578327207
23,1,1,1000,0.4576288766725443,0.7830653630455271
24,1,1,1000,0.4525381758151052,0.7682032339893359
25,1,1,1000,0.4443061605476042,0.7732606300270634
26,1,1,1000,0.4201244813278008,0.7530460052125004
27,1,1,1000,0.4258452603194358,0.7338333559902058
28,1,1,1000,0.471478946276706,0.7800486473926392
29,1,1,1000,0.4637560925023333,0.7657599733045916
30,1,1,1000,0.4439392373669525,0.7549035444810036
31,1,1,1000,0.4506287363430221,0.7813055235793764
32,1,1,1000,0.4621110307040215,0.7823436024465183
33,1,1,1000,0.4865872604867944,0.7976850457303246
34,1,1,1000,0.4546486430708905,0.7756297181747329
35,1,1,1000,0.4653322327692942,0.7841758621697896
36,1,1,1000,0.4611565118444191,0.7804051587035052
37,1,1,1000,0.4372160264353573,0.756816940220664
38,1,1,1000,0.4589722337339411,0.7811565033355676
39,1,1,1000,0.464736297828335,0.7760041199898408
40,1,1,1000,0.4693410933277905,0.7629376395602987
41,1,1,1000,0.4418748709477597,0.7527226251895216
42,1,1,1000,0.4375581035017044,0.7596833101371154
43,1,1,1000,0.4806458290209066,0.7774418998850436
44,1,1,1000,0.4715009827247336,0.7828401301421044
45,1,1,1000,0.4822314049586776,0.7947170782433928
46,1,1,1000,0.4436401240951396,0.7783333554451689
47,1,1,1000,0.436743560566877,0.749586775582008
