seed,radius,duration,noa,F1_score,roc_auc
1,1,1,100,0.2542372881355932,0.7866989257462961
2,1,1,100,0.24859392575928,0.7929541376858052
3,1,1,100,0.1926760563380281,0.7223174132174047
4,1,1,100,0.2794366197183098,0.7988127911088756
5,1,1,100,0.2417088251826869,0.791511335736603
6,1,1,100,0.2207282913165266,0.7645200915113991
7,1,1,100,0.2346996069623806,0.7836009946460335
8,1,1,100,0.2637729549248748,0.7992700351598653
9,1,1,100,0.2338392355255761,0.7636696838383331
10,1,1,100,0.2184684684684684,0.7575882203489169
11,1,1,100,0.2290847838293093,0.7345161445326164
12,1,1,100,0.2769058295964126,0.8052398952197399
13,1,1,100,0.2073991031390134,0.7443342822823639
14,1,1,100,0.2109988776655443,0.7051417634347203
15,1,1,100,0.2029312288613303,0.7118148283805293
16,1,1,100,0.2237211916807195,0.7151859959991266
17,1,1,100,0.2149690489589195,0.7642953020504465
18,1,1,100,0.2405845980888139,0.7702669293875437
19,1,1,100,0.2290847838293093,0.7337663046446224
20,1,1,100,0.2154540327129159,0.759321151488113
21,1,1,100,0.233502538071066,0.7383142916206041
22,1,1,100,0.2016901408450704,0.7344970671349862
23,1,1,100,0.2267343485617597,0.7844913171289775
24,1,1,100,0.2771830985915492,0.8199521657527898
25,1,1,100,0.2230941704035874,0.7458523745215668
26,1,1,100,0.2093415869442881,0.7562241164799625
27,1,1,100,0.2256063169768753,0.7913574657870065
28,1,1,100,0.2506994963626189,0.7665766233971074
29,1,1,100,0.2022598870056497,0.7326646169381474
30,1,1,100,0.2287323943661972,0.740414251390602
31,1,1,100,0.2178551375631667,0.7342198094214033
32,1,1,100,0.2686066032456631,0.813172216528295
33,1,1,100,0.2013574660633484,0.7243867459787221
34,1,1,100,0.2366197183098591,0.7765597467669175
35,1,1,100,0.2418447694038245,0.781319350511317
36,1,1,100,0.230812324929972,0.7660301145717259
37,1,1,100,0.2347680268306316,0.7780917371631174
38,1,1,100,0.2264788732394366,0.7527128856332885
39,1,1,100,0.2584269662921348,0.8086309268627283
40,1,1,100,0.2232192933258553,0.7648930359648584
41,1,1,100,0.1837416481069042,0.7269506711229374
42,1,1,100,0.2873051224944321,0.8022320146161592
43,1,1,100,0.2044943820224719,0.7498171150458333
44,1,1,100,0.2004504504504504,0.7404801754758461
45,1,1,100,0.250280583613917,0.7543190364281727
46,1,1,100,0.2015677491601343,0.7472386664855244
47,1,1,100,0.2474804031354983,0.7472734413480986
48,1,1,100,0.2346305696559503,0.7537881202032398
49,1,1,100,0.2341736694677871,0.7771259216466865
50,1,1,100,0.2382022471910112,0.7266120242080647
1,1,1,500,0.4094098225340487,0.7503468239252835
2,1,1,500,0.4811223437177636,0.7981702557675736
3,1,1,500,0.4621727478870336,0.7843288212640503
4,1,1,500,0.4238026124818577,0.7654390345972633
5,1,1,500,0.3799833887043189,0.7224489561439131
6,1,1,500,0.3849648905410987,0.7172861713737928
7,1,1,500,0.4262564102564102,0.7798240075748133
8,1,1,500,0.3896694214876033,0.7132828861692542
9,1,1,500,0.4163416136316978,0.7551503802046214
10,1,1,500,0.4476564113153004,0.7752092557589492
11,1,1,500,0.4012371134020618,0.7272116267701612
12,1,1,500,0.4137931034482758,0.744524551871053
13,1,1,500,0.4098225340486999,0.7355387255249556
14,1,1,500,0.4542079207920792,0.7535562900506375
15,1,1,500,0.4689113819458789,0.774794484322045
16,1,1,500,0.4270448006576243,0.7512810702827906
17,1,1,500,0.4051420277835372,0.7472853227114573
18,1,1,500,0.4227441285537701,0.7305178600609114
19,1,1,500,0.4252944823310601,0.7601932478784693
20,1,1,500,0.4318181818181818,0.7583623832288509
21,1,1,500,0.4463218627652998,0.7593899446459261
22,1,1,500,0.429250154926668,0.7617776095484828
23,1,1,500,0.3694346655622282,0.7325820324118192
24,1,1,500,0.4212476837554045,0.7628160875362091
25,1,1,500,0.387430225346289,0.7490448410176681
26,1,1,500,0.4319868095630668,0.7544730633110499
27,1,1,500,0.4409025046574208,0.7745792492254903
28,1,1,500,0.4132368148914167,0.748064776594321
29,1,1,500,0.4062887877534133,0.7363635375804227
30,1,1,500,0.4071015689512799,0.7505583020513215
31,1,1,500,0.3946446961894954,0.749231564868868
32,1,1,500,0.4341725134131242,0.7688400036224206
33,1,1,500,0.4263790958108668,0.7478369750508869
34,1,1,500,0.4342998149290561,0.7574070738879002
35,1,1,500,0.4432565789473684,0.7840755408991782
36,1,1,500,0.4392754219843557,0.7747622056387575
37,1,1,500,0.4164271047227926,0.7597118098669893
38,1,1,500,0.4327557755775577,0.7788079193833882
39,1,1,500,0.4278647980214344,0.7790331794345839
40,1,1,500,0.4264401160381268,0.7432934479808121
41,1,1,500,0.404185473943373,0.7690412661133769
42,1,1,500,0.4282488195442414,0.7503226928706587
43,1,1,500,0.4418268237239099,0.763495219713933
44,1,1,500,0.45616211745244,0.7769641928723512
45,1,1,500,0.4170968408011563,0.7501120775359031
46,1,1,500,0.4354472216484197,0.7492486147936294
47,1,1,500,0.4599216979188131,0.8077573212571817
48,1,1,500,0.4073690747257296,0.7436500939179167
49,1,1,500,0.4383900928792569,0.764503900325019
50,1,1,500,0.4452690166975881,0.7461387073519923
1,1,1,1000,0.4649477063270166,0.7877162787391074
2,1,1,1000,0.469869538206668,0.7894033923966216
3,1,1,1000,0.4757872999483737,0.786655257381029
4,1,1,1000,0.4401328076364391,0.7763429794941932
5,1,1,1000,0.469302809573361,0.7764177617721831
6,1,1,1000,0.4642708766098878,0.7630401745248068
7,1,1,1000,0.4550526968381897,0.7680948758586659
8,1,1,1000,0.4403555923092826,0.7516335681180358
9,1,1,1000,0.4300587568291928,0.7833784288521851
10,1,1,1000,0.449575481466142,0.7696853868545821
11,1,1,1000,0.4486464145484604,0.7542117107599157
12,1,1,1000,0.4656401777410354,0.7832714141883105
13,1,1,1000,0.440938343367241,0.7730598532762843
14,1,1,1000,0.4420267329810382,0.7935126525888849
15,1,1,1000,0.4407976734524304,0.7601283834734671
16,1,1,1000,0.4727347696113803,0.7693116025769927
17,1,1,1000,0.4509090909090909,0.7638400600707833
18,1,1,1000,0.4455690972939475,0.7768028014414187
19,1,1,1000,0.4649377593360996,0.7634146482029307
20,1,1,1000,0.4560712805636137,0.7738933334194089
21,1,1,1000,0.4849487948691424,0.7919295582864453
22,1,1,1000,0.4722481585226683,0.7852645972176012
23,1,1,1000,0.4669640078829997,0.8203809525782835
24,1,1,1000,0.453776310359059,0.7612392480182264
