seed,radius,duration,noa,F1_score,roc_auc
1,1,1,100,0.2384180790960452,0.7579348133626376
2,1,1,100,0.2080989876265467,0.6999232936949199
3,1,1,100,0.2140845070422535,0.7405916481111336
4,1,1,100,0.2185915492957746,0.8031379770494054
5,1,1,100,0.2349634626194491,0.7834529605648414
6,1,1,100,0.2319327731092437,0.7625140964798195
7,1,1,100,0.223469960696238,0.743253930680781
8,1,1,100,0.244852531997774,0.7799543000690317
9,1,1,100,0.2102304665542439,0.7591262943529169
10,1,1,100,0.2387387387387387,0.7513148005770311
11,1,1,100,0.2369455362156092,0.7614359550865432
12,1,1,100,0.2477578475336322,0.7229287745324249
13,1,1,100,0.2051569506726457,0.7264989209804826
14,1,1,100,0.1705948372615039,0.684125853450297
15,1,1,100,0.1781285231116121,0.6733619467044861
16,1,1,100,0.2057335581787521,0.7163482312887524
17,1,1,100,0.1857062464828362,0.6927134739034954
18,1,1,100,0.209106239460371,0.721057387179959
19,1,1,100,0.2436833239752947,0.7826743410195012
20,1,1,100,0.1883812746756909,0.7086795512350297
21,1,1,100,0.2346305696559503,0.7470064625717714
22,1,1,100,0.2028169014084507,0.7289087673588095
23,1,1,100,0.2380146644106035,0.749931703376852
24,1,1,100,0.2546478873239436,0.8000741730620613
25,1,1,100,0.187219730941704,0.7310641236189908
26,1,1,100,0.1913337084974676,0.7552823796132897
27,1,1,100,0.2109419063733784,0.7430830932185701
28,1,1,100,0.2339115836597649,0.8012800543067027
29,1,1,100,0.1751412429378531,0.7301909045346968
30,1,1,100,0.2073239436619718,0.7261624347454831
31,1,1,100,0.2167321729365525,0.746086281448901
32,1,1,100,0.2361499720201454,0.7295160296291971
33,1,1,100,0.2104072398190045,0.7282529868768386
34,1,1,100,0.2366197183098591,0.7647004218294154
35,1,1,100,0.2317210348706411,0.7525078582769918
36,1,1,100,0.2252100840336134,0.7637916898084989
37,1,1,100,0.228060368921185,0.7831760372320237
38,1,1,100,0.2050704225352112,0.724016476506261
39,1,1,100,0.2280898876404494,0.7522234680876885
40,1,1,100,0.2299495232753785,0.7429602254448686
41,1,1,100,0.1904231625835189,0.7243741198208999
42,1,1,100,0.2561247216035635,0.8138812981447562
43,1,1,100,0.1943820224719101,0.6952714976966289
44,1,1,100,0.1948198198198198,0.7415077840589903
45,1,1,100,0.2300785634118967,0.7392870867285408
46,1,1,100,0.206047032474804,0.7124140483283778
47,1,1,100,0.2318029115341545,0.754821157222305
48,1,1,100,0.2131979695431472,0.7568549217562811
49,1,1,100,0.2397759103641456,0.7594616513710095
50,1,1,100,0.2247191011235955,0.7452009221154581
1,1,1,500,0.3813454395377631,0.7401092737849848
2,1,1,500,0.438621827934805,0.7667595002722144
3,1,1,500,0.4502164502164502,0.771963153576748
4,1,1,500,0.3918722786647315,0.747133742838144
5,1,1,500,0.4181893687707641,0.7461211556489658
6,1,1,500,0.3862040479140851,0.7312694950721462
7,1,1,500,0.4106666666666667,0.7610065973028357
8,1,1,500,0.3818181818181818,0.7363064632821202
9,1,1,500,0.3958119482652433,0.7309369789723416
10,1,1,500,0.4332025603964485,0.7479906090774532
11,1,1,500,0.4103092783505154,0.7626844467168278
12,1,1,500,0.3809523809523809,0.7370349933541982
13,1,1,500,0.4015683037556747,0.7402876791207021
14,1,1,500,0.4141914191419142,0.7667256503327283
15,1,1,500,0.4358603594298698,0.7563477497003445
16,1,1,500,0.4311549527332511,0.7475747545877534
17,1,1,500,0.38855484138503,0.7164772836025469
18,1,1,500,0.415327564894932,0.7582800033925142
19,1,1,500,0.4104153750774953,0.7465275895972954
20,1,1,500,0.3913223140495868,0.7871895210283079
21,1,1,500,0.4306614465279209,0.744610671515151
22,1,1,500,0.4061144391654617,0.7786443824867099
23,1,1,500,0.3681921722924001,0.7255162853486926
24,1,1,500,0.4389540868849084,0.7776070648875191
25,1,1,500,0.400248087657639,0.7587087379100922
26,1,1,500,0.4130255564715581,0.7516735852983174
