seed,radius,duration,noa,F1_score,roc_auc
1,1,4,100,0.4073988439306358,0.8021899027396346
2,1,4,100,0.3304987359227764,0.7265020026965371
3,1,4,100,0.3648371669323616,0.7323165087234375
4,1,4,100,0.423923006416132,0.7978442928095477
5,1,4,100,0.3980649619903248,0.8142574165901812
6,1,4,100,0.3800227014755959,0.7490187276033494
7,1,4,100,0.403648802736602,0.758042104567907
8,1,4,100,0.3873001576221572,0.7828289316633297
9,1,4,100,0.3906572017403251,0.7477743293071644
10,1,4,100,0.3588085892403602,0.7576953496522193
11,1,4,100,0.3675351625547614,0.7483418974883416
12,1,4,100,0.4322477795490776,0.7801754601964712
13,1,4,100,0.3351076139782458,0.7371020503895255
14,1,4,100,0.3509659613615455,0.7738693360151468
15,1,4,100,0.3562585969738652,0.7453683292630908
16,1,4,100,0.3482678983833718,0.7349001302985353
17,1,4,100,0.3661517177772654,0.7693497804054599
18,1,4,100,0.3585694379934974,0.7911127422274293
19,1,4,100,0.3826879271070615,0.7734032777819684
20,1,4,100,0.3589507593189139,0.761433922655663
21,1,4,100,0.3786816269284712,0.7370290370837613
22,1,4,100,0.3344066237350506,0.7590018534284797
23,1,4,100,0.4185619113255226,0.7725630252243427
24,1,4,100,0.4421582075903063,0.7966803354964594
25,1,4,100,0.3818430656934307,0.785358013052741
26,1,4,100,0.333945796968305,0.7629240102930137
27,1,4,100,0.3585564610011641,0.7677018694488412
28,1,4,100,0.3868747131711794,0.80326008722403
29,1,4,100,0.3259259259259259,0.7399570779369232
30,1,4,100,0.3995402298850575,0.7669900890871242
31,1,4,100,0.3639714351531905,0.7474727054144374
32,1,4,100,0.409080486127035,0.7946972494597905
33,1,4,100,0.3682745825602968,0.7908151903157167
34,1,4,100,0.3723528042820572,0.84162633094949
35,1,4,100,0.3612132352941176,0.7407857649988294
36,1,4,100,0.3494880546075085,0.7473050264139576
37,1,4,100,0.3576007326007326,0.8019930160882919
38,1,4,100,0.3723723723723723,0.7416739837196071
39,1,4,100,0.3986206896551724,0.7838159747895291
40,1,4,100,0.3812356979405034,0.7872296582139175
41,1,4,100,0.3240552161122426,0.7181041541212193
42,1,4,100,0.4243249375992738,0.7966260137145065
43,1,4,100,0.3698944469940339,0.7458304125569399
44,1,4,100,0.3609399954369153,0.7713273091478993
45,1,4,100,0.4007344503098462,0.7849962640620856
46,1,4,100,0.3370013755158184,0.7520906384495355
47,1,4,100,0.3861250570515746,0.7682950599572168
48,1,4,100,0.3884526558891455,0.7715896667200578
49,1,4,100,0.3402889245585875,0.7631932663278188
50,1,4,100,0.406163753449862,0.794526958217078
1,2,4,100,0.601712506486767,0.8649826575616923
2,2,4,100,0.5716845878136201,0.9032600969410036
3,2,4,100,0.5704090735312859,0.817388711178766
4,2,4,100,0.6216146505029662,0.8902994504443691
5,2,4,100,0.5744267392149243,0.8386108070216902
6,2,4,100,0.6026322450012656,0.8379414931492775
7,2,4,100,0.5934938524590164,0.8482731471077031
8,2,4,100,0.5558603491271821,0.8852490399148862
9,2,4,100,0.5407780793589246,0.8420515773685568
10,2,4,100,0.5691987513007284,0.8167809408494138
11,2,4,100,0.5201134605466735,0.8475440824296325
12,2,4,100,0.6234981661818642,0.9011901188129824
13,2,4,100,0.5424650440186431,0.8239120170800107
14,2,4,100,0.5339202485758674,0.865100986307723
15,2,4,100,0.5419504047282538,0.8482694271370649
16,2,4,100,0.5351526965562053,0.7779729313036641
17,2,4,100,0.5429642072619202,0.7961440062645776
18,2,4,100,0.5727022420348761,0.8687352687506522
19,2,4,100,0.5945535148828373,0.8822524684474523
20,2,4,100,0.5425257731958762,0.8465261044460304
21,2,4,100,0.5946944701069025,0.8473245081887655
22,2,4,100,0.5283651366683858,0.8141834484147688
23,2,4,100,0.6188003116073747,0.8665305158144655
24,2,4,100,0.6104397017228079,0.8553694404161066
25,2,4,100,0.5212981744421906,0.8229502392064818
26,2,4,100,0.5074817751630644,0.8365927113920101
27,2,4,100,0.5791902940788606,0.8336647086842781
28,2,4,100,0.5425369332654101,0.8226767867725067
29,2,4,100,0.475635044064282,0.8322869416881395
30,2,4,100,0.5385705086928525,0.7749532575563571
31,2,4,100,0.532798550912149,0.8257448525000646
32,2,4,100,0.617195496417605,0.9185712915906944
33,2,4,100,0.5955891948323111,0.837452661942399
34,2,4,100,0.5483744614179397,0.8026227416076311
35,2,4,100,0.556775610386255,0.8167431991554095
36,2,4,100,0.5544479495268139,0.9038766672413124
37,2,4,100,0.5387162506367804,0.8222588046564703
38,2,4,100,0.5708727791466736,0.8623313488606801
39,2,4,100,0.5669493703418145,0.8524867273886976
40,2,4,100,0.5998195643768527,0.8319691418722974
41,2,4,100,0.5423473234481025,0.8269257748722942
42,2,4,100,0.5907374779763402,0.8187296865597017
43,2,4,100,0.53860103626943,0.8308904976667753
44,2,4,100,0.5630326930415978,0.7943967465368311
45,2,4,100,0.5512422360248447,0.8867134237819144
