seed,radius,duration,noa,F1_score,roc_auc
1,1,4,100,0.4615028901734104,0.8063362720045992
2,1,4,100,0.4325442427028269,0.7694750475047455
3,1,4,100,0.4194944204053746,0.7556679121925596
4,1,4,100,0.5219981668194317,0.9141579464453268
5,1,4,100,0.4547339322736696,0.8364266070571654
6,1,4,100,0.4549375709421112,0.7908625017415865
7,1,4,100,0.5582668187001141,0.8743285428711611
8,1,4,100,0.3733393379869398,0.7685000396357135
9,1,4,100,0.4831692237233799,0.8384627321163031
10,1,4,100,0.4502424382359732,0.8049897691291606
11,1,4,100,0.3915148720313581,0.7721758832641525
12,1,4,100,0.4818947847870644,0.8251623282568201
13,1,4,100,0.420735940754455,0.7753211035151659
14,1,4,100,0.3951241950321987,0.7635140350463175
15,1,4,100,0.4337459880788629,0.7947368228229406
16,1,4,100,0.402771362586605,0.8108199273286888
17,1,4,100,0.460225962646991,0.8586447306184047
18,1,4,100,0.4756154203437064,0.8288986051265121
19,1,4,100,0.4888382687927107,0.8376233035372421
20,1,4,100,0.4767602393005062,0.8188776784750864
21,1,4,100,0.4590930341280972,0.8062032534300905
22,1,4,100,0.4342226310947562,0.8009996850442299
23,1,4,100,0.5306685044796692,0.8503465562975112
24,1,4,100,0.4956561499771376,0.8645268750213068
25,1,4,100,0.458941605839416,0.8222175724253382
26,1,4,100,0.3909049150206706,0.8079077578565592
27,1,4,100,0.4935972060535506,0.848498416934815
28,1,4,100,0.4726938962826985,0.8483195275989122
29,1,4,100,0.4425925925925926,0.8191069380496836
30,1,4,100,0.4542528735632184,0.7956355316016701
31,1,4,100,0.4445980188896568,0.7936000786689958
32,1,4,100,0.5393258426966292,0.8689315949396437
33,1,4,100,0.487012987012987,0.8305040763123848
34,1,4,100,0.4817314405399115,0.83271036357413
35,1,4,100,0.4512867647058823,0.8216174733841262
36,1,4,100,0.4969283276450512,0.8625218437556911
37,1,4,100,0.4500915750915751,0.861481910538477
38,1,4,100,0.4453684453684454,0.8518136801144789
39,1,4,100,0.488735632183908,0.8601063813102398
40,1,4,100,0.4837528604118993,0.8257373339794304
41,1,4,100,0.4326770762615976,0.8605272956213171
42,1,4,100,0.5082822781937826,0.8433197420123153
43,1,4,100,0.455713630105553,0.8342832033514528
44,1,4,100,0.5014830025096966,0.823084778167557
45,1,4,100,0.460408537984852,0.826439771806945
46,1,4,100,0.4190738193489225,0.7790882271614588
47,1,4,100,0.5116385212231858,0.8470198861795871
48,1,4,100,0.4521939953810623,0.8501709373510644
49,1,4,100,0.5012611786287549,0.8398744906328834
50,1,4,100,0.5009199632014719,0.874728520833371
1,2,4,100,0.5926310326933056,0.8229194409679029
2,2,4,100,0.6259600614439325,0.8397776801562593
3,2,4,100,0.5354912705492545,0.8631370346697247
4,2,4,100,0.65334021150374,0.9244856645182852
5,2,4,100,0.5834952714082134,0.8436325584231664
6,2,4,100,0.6669197671475576,0.8861614020042716
7,2,4,100,0.703125,0.8993608567565385
8,2,4,100,0.6541147132169576,0.8522971280956324
9,2,4,100,0.5658523975701176,0.858143851419477
