seed,radius,duration,noa,F1_score,roc_auc
1,1,4,100,0.4554913294797688,0.7963269421296572
2,1,4,100,0.3833601470926224,0.7402307270258414
3,1,4,100,0.4199498975176497,0.7590480205654062
4,1,4,100,0.5210815765352887,0.8381291268999087
5,1,4,100,0.3860861552637641,0.7843552138496369
6,1,4,100,0.454483541430193,0.8646575667576906
7,1,4,100,0.4980615735461801,0.8310671033788369
8,1,4,100,0.4863769421301508,0.8435047516044916
9,1,4,100,0.4066865124799633,0.763175636044209
10,1,4,100,0.4770260909720619,0.8481422986770236
11,1,4,100,0.4108830989163016,0.772420051549064
12,1,4,100,0.5666135276702345,0.8975485681575035
13,1,4,100,0.4290673455218699,0.7906995911244463
14,1,4,100,0.4268629254829806,0.802915873226218
15,1,4,100,0.4227418615314076,0.8456294406685536
16,1,4,100,0.405080831408776,0.7632652924164358
17,1,4,100,0.4141111367304588,0.7852725858415861
18,1,4,100,0.4816535067347887,0.8334526369132159
19,1,4,100,0.4738041002277904,0.8411546072853835
20,1,4,100,0.4813621721122871,0.8101608589462178
21,1,4,100,0.4731182795698925,0.8317253474604804
22,1,4,100,0.4346826126954922,0.7892669835587642
23,1,4,100,0.5003445899379738,0.820671253239905
24,1,4,100,0.5002286236854138,0.8370228465671442
25,1,4,100,0.4635036496350365,0.8141934544848857
26,1,4,100,0.4350022967386311,0.8462042282219442
27,1,4,100,0.449359720605355,0.7978705046319688
28,1,4,100,0.429554841670491,0.8559130619947478
29,1,4,100,0.4092592592592592,0.7978316480997075
30,1,4,100,0.4717241379310344,0.8063246302683722
31,1,4,100,0.4137295554019811,0.7802091229758179
32,1,4,100,0.4893373079568906,0.8226106050498353
33,1,4,100,0.4837662337662338,0.8274375668001606
34,1,4,100,0.4654410053525715,0.8553249181942517
35,1,4,100,0.4131433823529412,0.7973573683419026
36,1,4,100,0.4992036405005688,0.850426444528848
37,1,4,100,0.4432234432234432,0.8257261976520566
38,1,4,100,0.4596904596904597,0.8295348162851335
39,1,4,100,0.4924137931034483,0.8565107419429197
40,1,4,100,0.4389016018306636,0.8597307758420449
41,1,4,100,0.3837972391943878,0.8314619053907498
42,1,4,100,0.4860449285228046,0.8296341596461385
43,1,4,100,0.4153281321707205,0.7832744290669772
44,1,4,100,0.4709103353867214,0.8258535961337271
45,1,4,100,0.4503098462244664,0.786809655277994
46,1,4,100,0.4773039889958734,0.8435923255878556
47,1,4,100,0.4979461433135554,0.8419837472260943
48,1,4,100,0.4637413394919168,0.8073228092495611
49,1,4,100,0.5315294657188718,0.8651070855294247
50,1,4,100,0.4664213431462741,0.8024160556645747
1,2,4,100,0.5365853658536586,0.7986455086544214
2,2,4,100,0.5363543266769073,0.7893471571074542
3,2,4,100,0.5038868357334013,0.7814648879919383
