seed,radius,duration,noa,snr,F1_score,roc_auc
1,2,10,450,5,0.4479144012874603,0.6637480823484787
2,2,10,450,5,0.4558155629568753,0.6668014088511541
3,2,10,450,5,0.4644366147756145,0.6707146325036393
4,2,10,450,5,0.4532977782930682,0.664102069707697
5,2,10,450,5,0.4581316733928013,0.677464466289559
6,2,10,450,5,0.4495121596039027,0.6673417919434834
7,2,10,450,5,0.4697236666809918,0.6738728232434411
8,2,10,450,5,0.4281802985762868,0.6488562250442911
9,2,10,450,5,0.4473256335501233,0.6572405107583337
10,2,10,450,5,0.4544236324111849,0.6761105407278745
11,2,10,450,5,0.4540310750531389,0.6673911708380101
12,2,10,450,5,0.4509292935078324,0.6613554978905358
13,2,10,450,5,0.4579513924197742,0.6669603438833488
14,2,10,450,5,0.4492774650339504,0.6542689893149185
15,2,10,450,5,0.4537540962307459,0.6639171932179083
16,2,10,450,5,0.4609561278016214,0.6711497929838048
17,2,10,450,5,0.4395820670892304,0.6496865748715032
18,2,10,450,5,0.4581491433359336,0.6732676233600526
19,2,10,450,5,0.4663534955424017,0.684191740920965
20,2,10,450,5,0.4530308707808491,0.6737592715018932
21,2,10,450,5,0.4645834843761328,0.6714086442107232
22,2,10,450,5,0.4534564078821725,0.6621687584525644
23,2,10,450,5,0.452536063285249,0.6691351591441621
24,2,10,450,5,0.4639499336678779,0.6710325415109384
25,2,10,450,5,0.4567799430001591,0.67046596704422
26,2,10,450,5,0.4489766378137394,0.6640030521967986
27,2,10,450,5,0.4590419993057966,0.6646747297802057
28,2,10,450,5,0.450009425344025,0.6686222862948956
29,2,10,450,5,0.4577714485003487,0.6723092934915361
30,2,10,450,5,0.4556797316639437,0.6761224101067493
31,2,10,450,5,0.449621767768286,0.662805682632793
32,2,10,450,5,0.4433309542190436,0.6516532179472148
33,2,10,450,5,0.447651919255308,0.6666657505209745
34,2,10,450,5,0.4576194966272575,0.6680011001773949
35,2,10,450,5,0.4625079677811902,0.6700168463430703
36,2,10,450,5,0.4623580541146782,0.6646601752281093
37,2,10,450,5,0.446641980686851,0.6701308110114346
38,2,10,450,5,0.4661787086020726,0.6862364230951977
39,2,10,450,5,0.4567195217052248,0.6699094694208014
40,2,10,450,5,0.4563038429844932,0.6584358415328568
41,2,10,450,5,0.4591154261057174,0.6739495123054253
42,2,10,450,5,0.4539483202638965,0.6688384505596856
43,2,10,450,5,0.452796368840255,0.660924871362573
44,2,10,450,5,0.4473086994471923,0.6553908354363411
45,2,10,450,5,0.4479339323620925,0.6655458975521243
46,2,10,450,5,0.4676015613705364,0.6718264322223899
47,2,10,450,5,0.4577520170098739,0.6736864032796492
48,2,10,450,5,0.4530404238166532,0.6638051261165774
49,2,10,450,5,0.4462112089602043,0.6610559459212926
50,2,10,450,5,0.4565738201760715,0.6670255000516689
1,2,10,450,10,0.5433430472793702,0.7342908917264857
2,2,10,450,10,0.5640094006372824,0.740994880463394
3,2,10,450,10,0.5604514381167619,0.7489742194118646
4,2,10,450,10,0.5461080274198925,0.7393124014088177
5,2,10,450,10,0.5649357418355646,0.751652778659974
6,2,10,450,10,0.545944371632445,0.7363161192336115
7,2,10,450,10,0.5592275846261836,0.7392952007844509
8,2,10,450,10,0.531846215920226,0.7247565729999872
9,2,10,450,10,0.5548329221798609,0.7320002373948271
10,2,10,450,10,0.5515916738631964,0.740361680859821
11,2,10,450,10,0.5372571325928809,0.7378131779443882
12,2,10,450,10,0.5520776654543372,0.7397033639985622
13,2,10,450,10,0.5531037087612767,0.7447103530892492
14,2,10,450,10,0.5576867274099008,0.7511999941622466
15,2,10,450,10,0.564161048635071,0.7526592705337165
16,2,10,450,10,0.5648545541249403,0.754776331043762
17,2,10,450,10,0.5437758675581025,0.7188665426856539
18,2,10,450,10,0.5553147843171247,0.7360292113497255
19,2,10,450,10,0.562806323535828,0.7499243816693193
20,2,10,450,10,0.561900095120053,0.7581154083553721
21,2,10,450,10,0.5665772493293699,0.7566875259588124
22,2,10,450,10,0.544865302815475,0.7388852332021899
23,2,10,450,10,0.5504885993485342,0.7433216913953113
24,2,10,450,10,0.5625540750994982,0.7510871868428974
25,2,10,450,10,0.5477482169466025,0.734110428206801
26,2,10,450,10,0.5473757345916683,0.7322709287491264
27,2,10,450,10,0.5540321647576073,0.7380605563726348
28,2,10,450,10,0.5477719936777692,0.7301735266789855
29,2,10,450,10,0.5549581492676122,0.743846040085956
30,2,10,450,10,0.5425997946997846,0.7318046458755643
31,2,10,450,10,0.5552391635746541,0.7371390325052117
32,2,10,450,10,0.5402822891934802,0.7310389400997981
33,2,10,450,10,0.5548433367699135,0.746226302305265
34,2,10,450,10,0.5691158337564373,0.7527853587139623
35,2,10,450,10,0.5643217245175871,0.7608984312190542
36,2,10,450,10,0.5656526005888126,0.7438700211421478
37,2,10,450,10,0.5522689319683438,0.7405538223361998
38,2,10,450,10,0.5778099862308863,0.7625747133371177
39,2,10,450,10,0.5591369898622303,0.7457113339637901
40,2,10,450,10,0.5500636751816615,0.7387141657311616
41,2,10,450,10,0.5540165408126573,0.7462837570304324
42,2,10,450,10,0.5563239677073989,0.7414676091236708
43,2,10,450,10,0.5696526402520996,0.7436470163065468
44,2,10,450,10,0.5488507419260984,0.7296767114155651
45,2,10,450,10,0.5477042077408474,0.7396924813606063
46,2,10,450,10,0.5668931617753361,0.7414643748650795
47,2,10,450,10,0.5576558995718405,0.7439938378460664
48,2,10,450,10,0.5443683058850628,0.7287622992318477
49,2,10,450,10,0.5393532287782726,0.7339224088114139
50,2,10,450,10,0.551450425746861,0.7436700710469779
1,2,10,450,15,0.615864178736607,0.793187974662256
2,2,10,450,15,0.6531424369566158,0.812681095611851
