seed,radius,duration,noa,snr,F1_score,roc_auc
1,2,10,450,5,0.5637858292375277,0.7709935968290254
2,2,10,450,5,0.5887797915134738,0.7852554560625703
3,2,10,450,5,0.6011594772526285,0.7934403467687657
4,2,10,450,5,0.5899334792249388,0.7861253555997793
5,2,10,450,5,0.5906390076097154,0.7931475929886987
6,2,10,450,5,0.5755060433959517,0.7725397072324126
7,2,10,450,5,0.6062142765052215,0.794055216149294
8,2,10,450,5,0.5509251253674563,0.747813563505827
9,2,10,450,5,0.5931823278762054,0.7844528543461446
10,2,10,450,5,0.6132634525475715,0.8061460159619495
11,2,10,450,5,0.5836900877166722,0.7796468118029637
12,2,10,450,5,0.5842950829061543,0.7845278098867152
13,2,10,450,5,0.5724247134535206,0.7747460859677531
14,2,10,450,5,0.579594916139516,0.7790937342150607
15,2,10,450,5,0.5971907436012184,0.7909712590846931
16,2,10,450,5,0.5927813543156891,0.7929413365391271
17,2,10,450,5,0.5877109200891436,0.7812763196208217
18,2,10,450,5,0.6011961515125249,0.7914871687802915
19,2,10,450,5,0.5977981064297038,0.7959664459143494
20,2,10,450,5,0.5852189202432767,0.7840872101884673
21,2,10,450,5,0.6116435873269049,0.8006009304334468
22,2,10,450,5,0.5898608177319946,0.7854215853046465
23,2,10,450,5,0.5717484876686831,0.7715313172427668
24,2,10,450,5,0.5926342504470208,0.7821844096877467
25,2,10,450,5,0.5766242784601363,0.7748619577767278
26,2,10,450,5,0.5897576933097878,0.7865615916605593
27,2,10,450,5,0.5717632766400556,0.7769244362152887
28,2,10,450,5,0.5791511390165741,0.7791778109786909
29,2,10,450,5,0.573267844687282,0.7749913014197648
30,2,10,450,5,0.5739731374788555,0.7762750922306025
31,2,10,450,5,0.5833692869675267,0.7816007346598027
32,2,10,450,5,0.5731431984035658,0.7740581112207546
33,2,10,450,5,0.6024773260418067,0.7972615565708784
34,2,10,450,5,0.5862334082831653,0.7847147779802022
35,2,10,450,5,0.6081590079388074,0.8038242531724384
36,2,10,450,5,0.6051871582784242,0.7971852677558454
37,2,10,450,5,0.594235097654832,0.7871320938607199
38,2,10,450,5,0.6113196608449888,0.8066156444190973
39,2,10,450,5,0.5909944256707969,0.7859546457951472
40,2,10,450,5,0.5949808974455015,0.7946066734260562
41,2,10,450,5,0.5815174397698669,0.7803514103449658
42,2,10,450,5,0.5934778205387887,0.7890617266428097
43,2,10,450,5,0.5902658321166828,0.784016868151193
44,2,10,450,5,0.5822810590631364,0.7801145861809207
45,2,10,450,5,0.5946087411672337,0.7686063305994979
46,2,10,450,5,0.6090790805262397,0.8040612545180559
47,2,10,450,5,0.5963358867561821,0.7985292093133258
48,2,10,450,5,0.5775653575953011,0.7766613389137649
49,2,10,450,5,0.5862144007428148,0.7807131259088996
50,2,10,450,5,0.5834319526627219,0.7794863821344078
1,2,10,450,10,0.6054833050614008,0.8043373882039542
2,2,10,450,10,0.6675029196764566,0.8368302763269375
3,2,10,450,10,0.6651974339898089,0.8308783131773189
4,2,10,450,10,0.6563093288503066,0.8351325587758462
5,2,10,450,10,0.6536313681106759,0.8399944963223605
6,2,10,450,10,0.6372214941022281,0.8263714357320846
7,2,10,450,10,0.656954173650207,0.8324545738874364
8,2,10,450,10,0.6149345783618653,0.8075581053570124
9,2,10,450,10,0.6258129625476564,0.816358614657291
10,2,10,450,10,0.6621005925970043,0.8440300447319102
11,2,10,450,10,0.6400023949944615,0.8301514643816328
12,2,10,450,10,0.6539419800108823,0.8344987944809138
13,2,10,450,10,0.6503769774975667,0.8362240284175071
14,2,10,450,10,0.6432882595322384,0.8266647130316356
15,2,10,450,10,0.6611713415426369,0.8431016800040861
16,2,10,450,10,0.6675906056270863,0.817605615611059
17,2,10,450,10,0.6376371161471448,0.8171607668047458
18,2,10,450,10,0.6336135910548669,0.8180161946401119
19,2,10,450,10,0.6433485071045245,0.8275258900006894
20,2,10,450,10,0.6537053584296544,0.8371768302840494
21,2,10,450,10,0.6626549699122743,0.8420897742501687
22,2,10,450,10,0.6568477097138228,0.834611257343445
23,2,10,450,10,0.6397743136342485,0.8250117118091375
24,2,10,450,10,0.6630039799273231,0.8399029967709579
25,2,10,450,10,0.6446190124849905,0.8155194685563097
26,2,10,450,10,0.6580493877196537,0.8243390625205539
27,2,10,450,10,0.6609394886034942,0.8352318042278017
28,2,10,450,10,0.6524368139437089,0.8351758289409077
29,2,10,450,10,0.6320332480818415,0.8178524890350326
30,2,10,450,10,0.622348807957552,0.8130166773965327
31,2,10,450,10,0.6713550205654788,0.8475296883100731
32,2,10,450,10,0.6414286338543108,0.8351147367413385
33,2,10,450,10,0.6553408938096732,0.8410309107108256
34,2,10,450,10,0.6718793065931675,0.839241434163233
35,2,10,450,10,0.6786811149098917,0.8524211239227382
36,2,10,450,10,0.6847329314453946,0.849983561033377
37,2,10,450,10,0.6488637188702534,0.8361027430472663
38,2,10,450,10,0.6825132255960576,0.8601375156827309
39,2,10,450,10,0.6794327470178783,0.8530731443444302
40,2,10,450,10,0.6574574874522436,0.8246021365339123
41,2,10,450,10,0.63893563466379,0.8261155519633158
42,2,10,450,10,0.6400648166902978,0.8241271402465858
43,2,10,450,10,0.6368406597377817,0.8239564225381268
44,2,10,450,10,0.6639511201629328,0.837381976149652
45,2,10,450,10,0.665096397103725,0.8461255445975742
46,2,10,450,10,0.6795720688159607,0.8509983294059862
47,2,10,450,10,0.6664433635278012,0.8471700436369687
48,2,10,450,10,0.6398710123229299,0.819748252944089
49,2,10,450,10,0.6164783031322993,0.8081921783156851
50,2,10,450,10,0.626641651031895,0.8183207947112275
1,2,10,450,15,0.6955185362388181,0.8420367761708266
2,2,10,450,15,0.6959643583199966,0.8677650743014341
3,2,10,450,15,0.7074776456716124,0.8705344252904863
4,2,10,450,15,0.7012941841422589,0.8622059003443132
5,2,10,450,15,0.6745692543670235,0.8242243971022167
6,2,10,450,15,0.6927333624581331,0.8638186424601195
7,2,10,450,15,0.6689873508387411,0.83908631288656
8,2,10,450,15,0.6486252809960228,0.8289737349826183
9,2,10,450,15,0.6875981161695447,0.8573838030492353
10,2,10,450,15,0.6921175664810458,0.8668489451046674
11,2,10,450,15,0.7044876208723767,0.8704846262351609
12,2,10,450,15,0.6647956699790945,0.8403880208062758
13,2,10,450,15,0.6789953077560034,0.8471813174370253
14,2,10,450,15,0.6810690035401311,0.8547416744317773
15,2,10,450,15,0.7028049255821339,0.8575710599674856
16,2,10,450,15,0.712535765379113,0.8676028827550419
17,2,10,450,15,0.6758125669300454,0.8434620670112527
18,2,10,450,15,0.697841726618705,0.8643327201611047
19,2,10,450,15,0.6930874503701334,0.8439108412298477
20,2,10,450,15,0.7012942092064681,0.8593615340160536
21,2,10,450,15,0.7036322772420793,0.8515446053238538
22,2,10,450,15,0.7115078561300964,0.8522328371496618
23,2,10,450,15,0.694828990228013,0.8560571688907277
24,2,10,450,15,0.6948145584587876,0.8617563206190613
25,2,10,450,15,0.6939224281353529,0.8606054434031227
26,2,10,450,15,0.6784297831688041,0.8568383532994394
27,2,10,450,15,0.6956496586833275,0.8667744073256994
28,2,10,450,15,0.6725345475109842,0.821631752106458
29,2,10,450,15,0.6610381306672867,0.8096623945783552
30,2,10,450,15,0.6913412465482094,0.8364242309199967
31,2,10,450,15,0.6830039980441223,0.8594718119964215
32,2,10,450,15,0.6654625435159425,0.8476162524219797
33,2,10,450,15,0.6902147115513918,0.8636807174242273
34,2,10,450,15,0.6918111264234423,0.8554530973349743
35,2,10,450,15,0.7233296633250276,0.8776333336942787
36,2,10,450,15,0.720342072059442,0.8769526689754132
37,2,10,450,15,0.6821752704566906,0.8600475826565933
38,2,10,450,15,0.7383143706065657,0.8807102517959582
39,2,10,450,15,0.7028564826849204,0.8429550392722881
40,2,10,450,15,0.7297025994456514,0.8720895372816215
41,2,10,450,15,0.6647968356706221,0.8461911716781794
42,2,10,450,15,0.6767556931624179,0.8546117109095952
43,2,10,450,15,0.6865956431865161,0.8578483702562598
44,2,10,450,15,0.7032295606633692,0.8510076899169682
45,2,10,450,15,0.6920526912675565,0.8685628836558561
46,2,10,450,15,0.690790805262397,0.864357756240774
47,2,10,450,15,0.7214341886814435,0.8596830110085045
48,2,10,450,15,0.660255672002764,0.8372443258677504
49,2,10,450,15,0.7067767348063894,0.8519430119180289
50,2,10,450,15,0.6620002886419397,0.8438408550828427
1,2,10,450,20,0.7067113218215824,0.845945793362056
2,2,10,450,20,0.7168130109433799,0.8480796345968238
3,2,10,450,20,0.7192127907466416,0.868888300120917
4,2,10,450,20,0.7389458123795307,0.8730193355573599
5,2,10,450,20,0.7381275036857232,0.866825256120912
6,2,10,450,20,0.7434978884520169,0.8824894444969931
7,2,10,450,20,0.7170341083272451,0.847223101324736
8,2,10,450,20,0.702374776644187,0.8567620650953984
9,2,10,450,20,0.6986431935411527,0.8478456428047499
10,2,10,450,20,0.7589410678657574,0.886414685646989
11,2,10,450,20,0.7601712421040027,0.8847849598756576
12,2,10,450,20,0.7206964689710473,0.85216104629144
13,2,10,450,20,0.7139183869140142,0.8830968998800899
14,2,10,450,20,0.6898032615634612,0.8346023883327458
15,2,10,450,20,0.7407717515266129,0.880414979938185
16,2,10,450,20,0.7496125417262757,0.889658421467718
17,2,10,450,20,0.7171427744493647,0.8382599629127033
18,2,10,450,20,0.7229782439108954,0.8789209922515222
19,2,10,450,20,0.7248214779156184,0.8697127576264981
20,2,10,450,20,0.7313867350762402,0.884663395337034
21,2,10,450,20,0.7438555789168418,0.8679830645638926
22,2,10,450,20,0.720159726843948,0.8457704228345618
23,2,10,450,20,0.7186482084690554,0.8495088403732063
24,2,10,450,20,0.7187806425563823,0.8593825037154492
25,2,10,450,20,0.7310446595199861,0.8644531954666037
26,2,10,450,20,0.7088266797904061,0.8503786158721219
27,2,10,450,20,0.7414960083304408,0.8935514739526794
28,2,10,450,20,0.7566956193901078,0.890801330741861
29,2,10,450,20,0.7461055568472448,0.8753263648897449
30,2,10,450,20,0.7072736998857837,0.8471551445750624
31,2,10,450,20,0.7268674317600023,0.8561758149967448
32,2,10,450,20,0.7180166926427104,0.8634385289635919
33,2,10,450,20,0.7619645285161445,0.8859779846847401
34,2,10,450,20,0.7422934648581998,0.8727461887200669
35,2,10,450,20,0.7472330068957524,0.8782688287572005
36,2,10,450,20,0.7417075564278705,0.8641533967401808
37,2,10,450,20,0.7174907427575692,0.8608114556174952
38,2,10,450,20,0.7466048264366983,0.8938262381852164
39,2,10,450,20,0.7547295150622418,0.8746128549138164
40,2,10,450,20,0.7515768971458536,0.8933451173591311
41,2,10,450,20,0.7518446601941747,0.8757615484020294
42,2,10,450,20,0.7429323765155241,0.8906910897553422
43,2,10,450,20,0.728862805186545,0.8551714703600166
44,2,10,450,20,0.7604015129473378,0.8825980946664582
45,2,10,450,20,0.7271220448399197,0.8869263569896814
46,2,10,450,20,0.7458146595344802,0.8889806761070658
47,2,10,450,20,0.7419392421285643,0.888832650045773
48,2,10,450,20,0.737245191754002,0.8586873268780009
49,2,10,450,20,0.7338778707908367,0.88083972651921
50,2,10,450,20,0.7380863039399624,0.8731875208397191
1,2,10,450,25,0.756063967059574,0.883531616641986
2,2,10,450,25,0.777398099687126,0.8910065849315358
3,2,10,450,25,0.7699153553531072,0.8879903343960946
4,2,10,450,25,0.7637280619121462,0.901391625438666
5,2,10,450,25,0.7803606796622538,0.8903548384217694
6,2,10,450,25,0.7536624435707004,0.8946526283100377
7,2,10,450,25,0.7365450456257968,0.8574894498815464
8,2,10,450,25,0.752464118969393,0.8790826111732983
9,2,10,450,25,0.7641847947970397,0.8941257699918126
10,2,10,450,25,0.7888389267740686,0.905269937086975
11,2,10,450,25,0.7844205610274526,0.8952911503051209
12,2,10,450,25,0.7782009794094905,0.892390061630194
13,2,10,450,25,0.7662158432238476,0.9017998917793753
14,2,10,450,25,0.7714584179676165,0.9035329379994254
15,2,10,450,25,0.7588168208918595,0.9024304322400246
16,2,10,450,25,0.7416249403910348,0.8618642406965773
17,2,10,450,25,0.7661138606697346,0.8771170655005985
18,2,10,450,25,0.7586316488977493,0.8751583952110777
19,2,10,450,25,0.7353510085952384,0.863440696559167
20,2,10,450,25,0.7840486553483411,0.9072044100924106
21,2,10,450,25,0.7899949249619372,0.9045507971863442
22,2,10,450,25,0.7631586562111172,0.8842102623806138
23,2,10,450,25,0.762738483015356,0.8752730150045295
24,2,10,450,25,0.7744996250793101,0.891221179599422
25,2,10,450,25,0.7332725720816515,0.8612804016123577
26,2,10,450,25,0.7567379787511218,0.8771703393972974
27,2,10,450,25,0.7087238227467315,0.8549889720558883
28,2,10,450,25,0.7501993822774531,0.8731616406390679
29,2,10,450,25,0.7651708904905836,0.8847984883555968
30,2,10,450,25,0.7493747018086659,0.8763735635548024
31,2,10,450,25,0.7906347973653177,0.891968774496348
32,2,10,450,25,0.7558009118319665,0.8984161495152774
33,2,10,450,25,0.7756211992170574,0.8888801525520682
34,2,10,450,25,0.7451657358381084,0.8748519039608657
35,2,10,450,25,0.7658921017558092,0.8979761238841556
36,2,10,450,25,0.7811579980372915,0.896413676505178
37,2,10,450,25,0.771480432730705,0.8879237286861926
38,2,10,450,25,0.7704326400463801,0.8946399730940018
39,2,10,450,25,0.7612858504462352,0.9001498038073932
40,2,10,450,25,0.781182111019552,0.9060679878000248
41,2,10,450,25,0.7822222222222223,0.8991075628212069
42,2,10,450,25,0.7673543794669985,0.8931076047876634
43,2,10,450,25,0.7595946746845141,0.8732496973684089
44,2,10,450,25,0.7870817573465231,0.9102799388180184
45,2,10,450,25,0.7671639186949315,0.8985556986564633
46,2,10,450,25,0.7740349862657221,0.8900838051636468
47,2,10,450,25,0.7723473043427606,0.902283974825053
48,2,10,450,25,0.7331855349533571,0.8630891678937088
49,2,10,450,25,0.7675366692297648,0.8917868528022743
50,2,10,450,25,0.7536152402944147,0.8922935891681324
