seed,radius,duration,noa,snr,F1_score,roc_auc
1,2,10,450,5,0.6617372015136358,0.8365900473918948
2,2,10,450,5,0.6894185157950892,0.8604020106317654
3,2,10,450,5,0.6946756692261261,0.8643993863542703
4,2,10,450,5,0.6929754641237084,0.866385742362779
5,2,10,450,5,0.6790665812869503,0.8595222862035325
6,2,10,450,5,0.6873161497014708,0.8589459035662583
7,2,10,450,5,0.6827682037618004,0.8476010356542709
8,2,10,450,5,0.6532364977808519,0.8318775316165683
9,2,10,450,5,0.690261269342902,0.8579377231640933
10,2,10,450,5,0.6920877877371132,0.8641672939281426
11,2,10,450,5,0.6918839625183367,0.8595766112932015
12,2,10,450,5,0.6857584696010768,0.8584639678445636
13,2,10,450,5,0.6783561166233276,0.8538283410705163
14,2,10,450,5,0.6786025187162672,0.849970491797898
15,2,10,450,5,0.6989938069321938,0.869879308028232
16,2,10,450,5,0.6814496900333811,0.8535817250785398
17,2,10,450,5,0.674915342537119,0.8411550584852647
18,2,10,450,5,0.6848400797434342,0.8530463518328166
19,2,10,450,5,0.6811617388269172,0.8515911190568738
20,2,10,450,5,0.6782059781512121,0.857396961436073
21,2,10,450,5,0.6881461610962082,0.863230072847107
22,2,10,450,5,0.6884458462339766,0.8484279703559078
23,2,10,450,5,0.6819741740344346,0.8508924895228835
24,2,10,450,5,0.6982753648266713,0.8666756983033652
25,2,10,450,5,0.6568001967507198,0.8364743108169519
26,2,10,450,5,0.6943230176880989,0.8639188975157468
27,2,10,450,5,0.6955050329746616,0.8622504526035649
28,2,10,450,5,0.6899351826341662,0.8561077538412974
29,2,10,450,5,0.672401767030923,0.847170306687633
30,2,10,450,5,0.6780979368774126,0.849732643880414
31,2,10,450,5,0.683119049673541,0.8531043431783182
32,2,10,450,5,0.6845148791749814,0.8585162094612219
33,2,10,450,5,0.7129260238767613,0.8791215209343962
34,2,10,450,5,0.7023717995212881,0.8668688882892024
35,2,10,450,5,0.7015124297386568,0.8676968547843222
36,2,10,450,5,0.6964531052852937,0.8608598668551122
37,2,10,450,5,0.7007333188121687,0.86837837067337
38,2,10,450,5,0.7237046162765418,0.8834646415015093
39,2,10,450,5,0.7022499494555642,0.8677050898026178
40,2,10,450,5,0.6984493220465953,0.8666618270170814
41,2,10,450,5,0.6648831355627473,0.8430519206218825
42,2,10,450,5,0.6897479672444226,0.8618470246941683
43,2,10,450,5,0.6904407406872027,0.8561110198550659
44,2,10,450,5,0.6920570264765784,0.8579854542688096
45,2,10,450,5,0.7001948297420687,0.8696428880503484
46,2,10,450,5,0.7122741072719387,0.8756005195499071
47,2,10,450,5,0.6895989281449334,0.8650622985870524
48,2,10,450,5,0.6664459288264425,0.8363005957670642
49,2,10,450,5,0.6705645102789908,0.848324101655617
50,2,10,450,5,0.6788569779188917,0.8511410203132479
1,2,10,450,10,0.7016368723993447,0.8677113340170051
2,2,10,450,10,0.7576452268696743,0.8759744715146448
