seed,radius,duration,noa,snr,F1_score,roc_auc
1,2,10,450,5,0.5956823684630218,0.7901058734500597
2,2,10,450,5,0.6513834220049887,0.8205248241565857
3,2,10,450,5,0.6490265163744579,0.8217525706927279
4,2,10,450,5,0.6692656628164809,0.8262655064588075
5,2,10,450,5,0.6630132090363509,0.8194859619949486
6,2,10,450,5,0.6083296927333625,0.7845390619675501
7,2,10,450,5,0.615668915724784,0.7855325225639531
8,2,10,450,5,0.5885353622687186,0.7839605693416398
9,2,10,450,5,0.6538181206548553,0.8150434117321266
10,2,10,450,5,0.6687412524939698,0.8215471445999053
11,2,10,450,5,0.5986588031015179,0.777078109405857
12,2,10,450,5,0.6058592743205705,0.7816194821815654
13,2,10,450,5,0.6626087714455888,0.8345666478419083
14,2,10,450,5,0.6153154198827694,0.8006736418636782
15,2,10,450,5,0.6388531997516999,0.8239068277954745
16,2,10,450,5,0.6583512160228898,0.8348478441426519
17,2,10,450,5,0.6595467569679604,0.8110179656583022
18,2,10,450,5,0.6086504290543469,0.7825496691807161
19,2,10,450,5,0.6238310621155049,0.8065730981667933
20,2,10,450,5,0.6230939959069552,0.8071081855424513
21,2,10,450,5,0.6553759153193649,0.8069834140517729
22,2,10,450,5,0.6042709569142626,0.7826663052439625
23,2,10,450,5,0.6438459748720335,0.8141074902059877
24,2,10,450,5,0.6447193862836708,0.8214376412517261
25,2,10,450,5,0.6041693792225453,0.7849660652777807
26,2,10,450,5,0.6109486726688476,0.7883332071149353
27,2,10,450,5,0.6128369779011917,0.7873655180866338
28,2,10,450,5,0.6428374635674202,0.8139358429140552
29,2,10,450,5,0.6121832132062311,0.780289476089159
30,2,10,450,5,0.5967874853615164,0.786348504729774
31,2,10,450,5,0.6615756320648891,0.8029065296338267
32,2,10,450,5,0.6129666584125967,0.7920247929784806
33,2,10,450,5,0.6770959403529219,0.8288933693519426
34,2,10,450,5,0.6531080002901284,0.8253397632689976
35,2,10,450,5,0.6369009677232428,0.8120702644892697
36,2,10,450,5,0.6870040656105425,0.8281003210751716
37,2,10,450,5,0.6627169098961737,0.8170376493512439
38,2,10,450,5,0.6252627001956663,0.8018471418570515
39,2,10,450,5,0.6225919186667822,0.7941995018166553
40,2,10,450,5,0.6377106899393213,0.8000384535968303
41,2,10,450,5,0.5875584322186264,0.7760493348169695
42,2,10,450,5,0.6255389334182123,0.8062472582082129
43,2,10,450,5,0.6109657555038379,0.7827173587707636
44,2,10,450,5,0.6315682281059063,0.8151402115433928
45,2,10,450,5,0.6071999767367472,0.8000345369791717
46,2,10,450,5,0.6173485615151078,0.789321850826287
47,2,10,450,5,0.6090059126787639,0.7908553667247502
48,2,10,450,5,0.6300241851894507,0.8026745541927254
49,2,10,450,5,0.6599155628418472,0.8163733027056417
50,2,10,450,5,0.6656660412757974,0.8301526949511201
1,2,10,450,10,0.7073782494599336,0.8618275145696286
2,2,10,450,10,0.6669550297734907,0.8210388883115176
3,2,10,450,10,0.6668819045747414,0.8377489013705883
4,2,10,450,10,0.7121056216576571,0.870323043714471
5,2,10,450,10,0.7537341216065285,0.8759605782234157
6,2,10,450,10,0.6755206057958352,0.8444440289916166
7,2,10,450,10,0.7168049049522254,0.8459079316888977
8,2,10,450,10,0.7184275750763732,0.8588293992523157
9,2,10,450,10,0.7268726171787396,0.8749163232277956
10,2,10,450,10,0.7419969625681189,0.8773049803436193
11,2,10,450,10,0.6857168517797803,0.845801239208786
12,2,10,450,10,0.6827801483433088,0.8493572488363047
13,2,10,450,10,0.7083109374319043,0.8629622255315434
14,2,10,450,10,0.6975509256572456,0.8546619803066088
15,2,10,450,10,0.6972326081621458,0.8548880408571007
16,2,10,450,10,0.7572424892703863,0.8757435334394277
17,2,10,450,10,0.6923678041156551,0.8271003861503572
18,2,10,450,10,0.7263875646470775,0.8595982674752533
19,2,10,450,10,0.7002719643973879,0.8446856752995714
20,2,10,450,10,0.6899086271005679,0.8482398679682852
21,2,10,450,10,0.7156963677227579,0.8678186019010758
22,2,10,450,10,0.720159726843948,0.8571022466343171
23,2,10,450,10,0.6885760818985575,0.8478681315019998
